Title;Year;Rated;Runtime;Genre;Director;Writer;Actors;Plot;Language;Country;imdbRating;BoxOffice;Production
Intolerance: Love's Struggle Throughout the Ages;1916;NOT RATED;197;Drama, History;D.W. Griffith;D.W. Griffith (scenario), Anita Loos (titles);Lillian Gish, Mae Marsh, Robert Harron, F.A. Turner;The story of a poor young woman, separated by prejudice from her husband and baby, is interwoven with tales of intolerance from throughout history.;NULL;USA;8.0;NULL;Cohen Media Group
Over the Hill to the Poorhouse;1920;NULL;110;Drama, Crime;Harry F. Millarde;Will Carleton (poems), Paul Sloane (scenario);Mary Carr, James Sheridan, Noel Tearle, William Welsh;The mother of a large family is abandoned by her children and faces consignment to the poorhouse. But one of her offspring, the one no one had faith in, returns to rescue her.;NULL;USA;5.6;NULL;NULL
The Kid;1921;NOT RATED;68;Comedy, Drama, Family;Charles Chaplin;Charles Chaplin;Carl Miller, Edna Purviance, Jackie Coogan, Charles Chaplin;The Tramp cares for an abandoned child, but events put that relationship in jeopardy.;English;USA;8.3;NULL;First National Pictures Inc.
The Gold Rush;1925;NOT RATED;95;Adventure, Comedy, Drama;Charles Chaplin;Charles Chaplin;Charles Chaplin, Mack Swain, Tom Murray, Henry Bergman;A prospector goes to the Klondike in search of gold and finds it and more.;English;USA;8.2;NULL;Janus Films
The Big Parade;1925;NOT RATED;151;Drama, Romance, War;King Vidor, George W. Hill;Laurence Stallings (story), Harry Behn (scenario), Joseph Farnham (titles);John Gilbert, Renée Adorée, Hobart Bosworth, Claire McDowell;A young American soldier witnesses the horrors of the Great War.;NULL;USA;8.3;NULL;MGM
The General;1926;UNRATED;67;Action, Adventure, Comedy;Clyde Bruckman, Buster Keaton;Buster Keaton, Clyde Bruckman, Al Boasberg (adapted by), Charles Henry Smith (adapted by);Buster Keaton, Marion Mack, Glen Cavender, Jim Farley;When Union spies steal an engineer's beloved locomotive, he pursues it single-handedly and straight through enemy lines.;English;USA;8.2;NULL;United Artists Films
Sunrise;1927;NOT RATED;94;Drama, Romance;F.W. Murnau;Carl Mayer (scenario), Hermann Sudermann (from an original theme by), Katherine Hilliker (titles), H.H. Caldwell (titles);George O'Brien, Janet Gaynor, Margaret Livingston, Bodil Rosing;An allegorical tale about a man fighting the good and evil within him. Both sides are made flesh - one a sophisticated woman he is attracted to and the other his wife.;NULL;USA;8.3;NULL;Fox Films
Metropolis;1927;NOT RATED;153;Drama, Sci-Fi;Fritz Lang;Thea von Harbou (screenplay), Thea von Harbou (novel);Alfred Abel, Gustav Fröhlich, Rudolf Klein-Rogge, Fritz Rasp;In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working class prophet who predicts the coming of a savior to mediate their differences.;German;Germany;8.3;529603;Paramount Pictures
The Passion of Joan of Arc;1928;NOT RATED;114;Biography, Drama, History;Carl Theodor Dreyer;Joseph Delteil, Carl Theodor Dreyer;Maria Falconetti, Eugene Silvain, André Berley, Maurice Schutz;A chronicle of the trial of Jeanne d'Arc on charges of heresy, and the efforts of her ecclesiastical jurists to force Jeanne to recant her claims of holy visions.;French;France;8.3;NULL;Criterion Collection
The Broadway Melody;1929;PASSED;100;Drama, Musical, Romance;Harry Beaumont;Edmund Goulding (story), Sarah Y. Mason (continuity), Norman Houston (dialogue), James Gleason (dialogue);Charles King, Anita Page, Bessie Love;A pair of sisters from the vaudeville circuit try to make it big time on Broadway, but matters of the heart complicate the attempt.;English;USA;6.3;NULL;MGM Home Entertainment
Pandora's Box;1929;NOT RATED;109;Crime, Drama, Romance;Georg Wilhelm Pabst;Frank Wedekind (plays), Ladislaus Vajda (scenario);Louise Brooks, Fritz Kortner, Francis Lederer, Carl Goetz;The rise and inevitable fall of an amoral but naive young woman whose insouciant eroticism inspires lust and violence in those around her.;German;Germany;8.0;NULL;Moviegraphs Inc.
Hell's Angels;1930;PASSED;127;Drama, War;Howard Hughes, Edmund Goulding, James Whale;Marshall Neilan (story), Joseph Moncure March (story), Howard Estabrook (adaptation), Harry Behn (adaptation), Joseph Moncure March (dialogue written by);Ben Lyon, James Hall, Jean Harlow, John Darrow;"Brothers Monte and Ray leave Oxford to join the Royal Flying Corps. Ray loves Helen; Helen enjoys an affair with Monte; before they leave on their mission over Germany they find her in still another man's arms.";English, German, French;USA;7.8;NULL;Caddo
All Quiet on the Western Front;1930;UNRATED;136;Drama, War;Lewis Milestone;Erich Maria Remarque (by), Maxwell Anderson (adaptation), George Abbott (screen play), Del Andrews (adaptation), C. Gardner Sullivan (supervising story chief);Louis Wolheim, Lew Ayres, John Wray, Arnold Lucy;A young soldier faces profound disillusionment in the soul-destroying horror of World War I.;English, French, German, Latin;USA;8.1;NULL;Universal Pictures
City Lights;1931;G;87;Comedy, Drama, Romance;Charles Chaplin;Charles Chaplin;Virginia Cherrill, Florence Lee, Harry Myers, Al Ernest Garcia;With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.;English;USA;8.6;NULL;Twentieth Century Fox Home Entertainment
M;1931;NOT RATED;99;Crime, Drama, Mystery;Fritz Lang;Thea von Harbou (script), Fritz Lang (script);Peter Lorre, Ellen Widmann, Inge Landgut, Otto Wernicke;When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt.;German;Germany;8.4;17599;Foremco
A Farewell to Arms;1932;UNRATED;80;Drama, Romance, War;Frank Borzage;Benjamin Glazer (screenplay), Oliver H.P. Garrett (screenplay), Ernest Hemingway (novel);Helen Hayes, Gary Cooper, Adolphe Menjou, Mary Philips;An American ambulance driver and an English nurse fall in love in Italy during World War I.;English;USA;6.6;NULL;Gravitas
She Done Him Wrong;1933;APPROVED;66;Comedy, Drama, History;Lowell Sherman;Mae West (by), Harvey F. Thew (screen play), John Bright (screen play);Mae West, Cary Grant, Owen Moore, Gilbert Roland;In the Gay Nineties, a seductive nightclub singer contends with several suitors, including a jealous escaped convict and a handsome temperance league member.;English;USA;6.5;NULL;MCA Universal Home Video
42nd Street;1933;UNRATED;89;Comedy, Musical, Romance;Lloyd Bacon;Rian James (screen play), James Seymour (screen play), Bradford Ropes (based on the novel by);Warner Baxter, Bebe Daniels, George Brent, Ruby Keeler;A director puts on what may be his last Broadway show and, at the last moment, a naive newcomer has to replace the star.;English;USA;7.6;NULL;MGM Home Entertainment
It Happened One Night;1934;UNRATED;105;Comedy, Romance;Frank Capra;Robert Riskin (screen play), Samuel Hopkins Adams (based on the short story by);Clark Gable, Claudette Colbert, Walter Connolly, Roscoe Karns;A spoiled heiress running away from her family is helped by a man who is actually a reporter in need of a story.;English;USA;8.2;NULL;Sony Pictures Home Entertainment
Top Hat;1935;APPROVED;101;Comedy, Musical, Romance;Mark Sandrich;Dwight Taylor (screen play), Allan Scott (screen play), Dwight Taylor (story);Fred Astaire, Ginger Rogers, Edward Everett Horton, Erik Rhodes;An American dancer comes to Britain and falls for a model whom he initially annoyed, but she mistakes him for his goofy producer.;English, Italian;USA;7.8;NULL;Turner Home Entertainment
A Night at the Opera;1935;PASSED;96;Comedy, Music, Musical;Sam Wood, Edmund Goulding;George S. Kaufman (screen play), Morrie Ryskind (screen play), James Kevin McGuinness (from a story by);Groucho Marx, Chico Marx, Harpo Marx, Kitty Carlisle;A sly business manager and two wacky friends of two opera singers help them achieve success while humiliating their stuffy and snobbish enemies.;English, Italian;USA;8.1;NULL;MGM
Jie hou tao hua;1935;NULL;NULL;NULL;Shichuan Zhang;Shen Hong;Zhanfei Gao, Chia-Nung Kung, Xiuwen Shu, Zhiyuan Tan;NULL;Mandarin;China;4.5;NULL;NULL
The Charge of the Light Brigade;1936;APPROVED;115;Action, Adventure, Romance;Michael Curtiz;Alfred Lord Tennyson (poem), Michael Jacoby (original story), Michael Jacoby (screen play), Rowland Leigh (screen play);Errol Flynn, Olivia de Havilland, Patric Knowles, Henry Stephenson;A major countermands orders and attacks to avenge a previous massacre of men, women, and children.;English;USA;7.1;NULL;WARNER BROTHERS PICTURES
Modern Times;1936;G;87;Comedy, Drama, Family;Charles Chaplin;Charles Chaplin;Charles Chaplin, Paulette Goddard, Henry Bergman, Tiny Sandford;The Tramp struggles to live in modern industrial society with the help of a young homeless woman.;English;USA;8.5;NULL;United Artists
The Prisoner of Zenda;1937;APPROVED;101;Adventure, Drama, Romance;John Cromwell, W.S. Van Dyke;Anthony Hope (celebrated novel), John L. Balderston (screen play), Edward E. Rose (dramatization), Wells Root (adaptation), Donald Ogden Stewart (additional dialogue);Ronald Colman, Madeleine Carroll, C. Aubrey Smith, Raymond Massey;An Englishman on a Ruritarian holiday must impersonate the king when the rightful monarch, a distant cousin, is drugged and kidnapped.;English;USA;7.7;NULL;United Artists
Snow White and the Seven Dwarfs;1937;G;83;Animation, Family, Fantasy;William Cottrell, David Hand, Wilfred Jackson, Larry Morey, Perce Pearce, Ben Sharpsteen;Jacob Grimm (fairy tales), Wilhelm Grimm (fairy tales), Ted Sears (story adaptation), Richard Creedon (story adaptation), Otto Englander (story adaptation), Dick Rickard (story adaptation), Earl Hurd (story adaptation), Merrill De Maris (story adaptation), Dorothy Ann Blank (story adaptation), Webb Smith (story adaptation);Roy Atwell, Stuart Buchanan, Adriana Caselotti, Eddie Collins;"Snow White, pursued by a jealous queen, hides with the Dwarfs; the queen soon learns of this and prepares to feed her a poison apple.";English;USA;7.6;NULL;NULL
Alexander's Ragtime Band;1938;APPROVED;106;Drama, Musical, Romance;Henry King;Kathryn Scola (screen play), Lamar Trotti (screen play), Richard Sherman (adaptation);Tyrone Power, Alice Faye, Don Ameche, Ethel Merman;This send-up of ragtime song and dance begins in 1915 San Francisco when society boy Roger Grant decides to pursue popular rather than serious music.;English;USA;7.0;NULL;20th Century Fox Film Corporation
You Can't Take It with You;1938;APPROVED;126;Comedy, Drama, Romance;Frank Capra;Robert Riskin (screen play), George S. Kaufman (based upon the play by), Moss Hart (based upon the play by);Jean Arthur, Lionel Barrymore, James Stewart, Edward Arnold;A man from a family of rich snobs becomes engaged to a woman from a good-natured but decidedly eccentric family.;English, Russian;USA;8.0;NULL;Columbia Pictures
Gone with the Wind;1939;G;238;Drama, History, Romance;Victor Fleming, George Cukor, Sam Wood;"Margaret Mitchell (story of the old south """"Gone with the Wind""""), Sidney Howard (screenplay)";Thomas Mitchell, Barbara O'Neil, Vivien Leigh, Evelyn Keyes;A manipulative woman and a roguish man conduct a turbulent romance during the American Civil War and Reconstruction periods.;English;USA;8.2;NULL;Loew's Inc.
Mr. Smith Goes to Washington;1939;NOT RATED;129;Comedy, Drama;Frank Capra;Sidney Buchman (screen play), Lewis R. Foster (story);Jean Arthur, James Stewart, Claude Rains, Edward Arnold;A naive man is appointed to fill a vacancy in the United States Senate. His plans promptly collide with political corruption, but he doesn't back down.;English;USA;8.2;NULL;ITVS
The Wizard of Oz;1939;G;102;Adventure, Family, Fantasy;Victor Fleming, George Cukor, Mervyn LeRoy, Norman Taurog, King Vidor;Noel Langley (screenplay), Florence Ryerson (screenplay), Edgar Allan Woolf (screenplay), Noel Langley (adaptation), L. Frank Baum (from the book by);Judy Garland, Frank Morgan, Ray Bolger, Bert Lahr;Dorothy Gale is swept away from a farm in Kansas to a magical land of Oz in a tornado and embarks on a quest with her new friends to see the Wizard who can help her return home in Kansas and help her friends as well.;English;USA;8.1;3840702;Warner Bros. Pictures
The Great Dictator;1940;APPROVED;125;Comedy, Drama, War;Charles Chaplin;Charles Chaplin;Charles Chaplin, Jack Oakie, Reginald Gardiner, Henry Daniell;Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.;English, Esperanto;USA;8.5;NULL;Criterion Collection
Rebecca;1940;APPROVED;130;Drama, Mystery, Romance;Alfred Hitchcock;Daphne Du Maurier (celebrated novel), Robert E. Sherwood (screen play), Joan Harrison (screen play), Philip MacDonald (adaptation), Michael Hogan (adaptation);Laurence Olivier, Joan Fontaine, George Sanders, Judith Anderson;A self-conscious bride is tormented by the memory of her husband's dead first wife.;English, French;USA;8.2;NULL;United Artists
The Blue Bird;1940;APPROVED;88;Drama, Family, Fantasy;Walter Lang;Ernest Pascal (screen play), Walter Bullock (additional dialogue), Maurice Maeterlinck (based on the play by);Shirley Temple, Spring Byington, Nigel Bruce, Gale Sondergaard;Mytyl and her brother Tyltyl, a woodchopper's children, are led by the Fairy Berylune on a magical trip through the past, present, and future to locate the Blue Bird of Happiness.;English;USA;6.5;NULL;Twentieth Century Fox
The Grapes of Wrath;1940;APPROVED;129;Drama, History;John Ford;Nunnally Johnson (screen play), John Steinbeck (based on the novel by);Henry Fonda, Jane Darwell, John Carradine, Charley Grapewin;A poor Midwest family is forced off their land. They travel to California, suffering the misfortunes of the homeless in the Great Depression.;English;USA;8.1;NULL;Twentieth Century Fox Home Entertainment
The Philadelphia Story;1940;NOT RATED;112;Comedy, Romance;George Cukor;Donald Ogden Stewart (screen play), Philip Barry (based on the play by);Cary Grant, Katharine Hepburn, James Stewart, Ruth Hussey;When a rich woman's ex-husband and a tabloid-type reporter turn up just before her planned remarriage, she begins to learn the truth about herself.;English, French;USA;8.0;NULL;MGM
His Girl Friday;1940;APPROVED;92;Comedy, Drama, Romance;Howard Hawks;"Charles Lederer (screen play), Ben Hecht (from the play """"The Front Page""""), Charles MacArthur (from the play """"The Front Page"""")";Cary Grant, Rosalind Russell, Ralph Bellamy, Gene Lockhart;A newspaper editor uses every trick in the book to keep his ace reporter ex-wife from remarrying.;English, French;USA;8.0;NULL;Columbia Pictures
Pinocchio;1940;APPROVED;88;Animation, Comedy, Family;Norman Ferguson, T. Hee, Wilfred Jackson, Jack Kinney, Hamilton Luske, Bill Roberts, Ben Sharpsteen;Carlo Collodi (from the story by), Ted Sears (story adaptation), Otto Englander (story adaptation), Webb Smith (story adaptation), William Cottrell (story adaptation), Joseph Sabo (story adaptation), Erdman Penner (story adaptation), Aurelius Battaglia (story adaptation);Mel Blanc, Don Brodie, Walter Catlett, Marion Darlington;A living puppet, with the help of a cricket as his conscience, must prove himself worthy to become a real boy.;English;USA;7.5;NULL;RKO
Fantasia;1940;G;125;Animation, Family, Fantasy;James Algar, Samuel Armstrong, Ford Beebe Jr., Norman Ferguson, Jim Handley, T. Hee, Wilfred Jackson, Hamilton Luske, Bill Roberts, Paul Satterfield, Ben Sharpsteen;Joe Grant (story direction), Dick Huemer (story direction), Lee Blair (story development), Elmer Plummer (story development), Phil Dike (story development), Sylvia Moberly-Holland (story development), Norman Wright (story development), Albert Heath (story development), Bianca Majolie (story development), Graham Heid (story development), Perce Pearce (story development), Carl Fallberg (story development), William Martin (story development and research), Leo Thiele (story development and research), Robert Sterner (story development and research), John McLeish (story development and research), Otto Englander (story development), Webb Smith (story development), Erdman Penner (story development), Joseph Sabo (story development), Bill Peet (story development), Vernon Stallings (story development), Campbell Grant (story development), Arthur Heinemann (story development), Phil Dike (story development);Leopold Stokowski, Deems Taylor;A collection of animated interpretations of great works of Western classical music.;English;USA;7.8;NULL;Walt Disney Productions
Boom Town;1940;PASSED;119;Adventure, Drama, Romance;Jack Conway;John Lee Mahin (screen play), James Edward Grant (based on a story by);Clark Gable, Spencer Tracy, Claudette Colbert, Hedy Lamarr;Two buddies who rise from fly-by-night wildcatters to oil tycoons over a twenty year period both love the same woman.;English;USA;7.1;NULL;WARNER BROTHERS PICTURES
Citizen Kane;1941;APPROVED;119;Drama, Mystery;Orson Welles;Herman J. Mankiewicz (original screen play), Orson Welles (original screen play);Joseph Cotten, Dorothy Comingore, Agnes Moorehead, Ruth Warrick;Following the death of a publishing tycoon, news reporters scramble to discover the meaning of his final utterance.;English;USA;8.4;NULL;RKO Radio Pictures
How Green Was My Valley;1941;APPROVED;118;Drama, Family;John Ford;Philip Dunne (screen play), Richard Llewellyn (based on the novel by);Walter Pidgeon, Maureen O'Hara, Anna Lee, Donald Crisp;At the turn of the century in a Welsh mining village, the Morgans, he stern, she gentle, raise coal-mining sons and hope their youngest will find a better life.;English, Welsh;USA;7.8;NULL;Twentieth Century Fox Home Entertainment
The Maltese Falcon;1941;APPROVED;100;Film-Noir, Mystery;John Huston;John Huston (screenplay), Dashiell Hammett (based upon the novel by);Humphrey Bogart, Mary Astor, Gladys George, Peter Lorre;A private detective takes on a case that involves him with three eccentric criminals, a gorgeous liar, and their quest for a priceless statuette.;English;USA;8.1;NULL;Warner Bros.
Bambi;1942;APPROVED;70;Animation, Drama, Family;James Algar, Samuel Armstrong, David Hand, Graham Heid, Bill Roberts, Paul Satterfield, Norman Wright;Felix Salten (from the story by), Perce Pearce (story direction), Larry Morey (story adaptation), Vernon Stallings (story development), Mel Shaw (story development), Carl Fallberg (story development), Chuck Couch (story development), Ralph Wright (story development);Hardie Albright, Stan Alexander, Bobette Audrey, Peter Behn;The story of a young deer growing up in the forest.;English;USA;7.3;NULL;RKO Radio Pictures
Casablanca;1942;PG;102;Drama, Romance, War;Michael Curtiz;Julius J. Epstein (screenplay), Philip G. Epstein (screenplay), Howard Koch (screenplay), Murray Burnett (play), Joan Alison (play);Humphrey Bogart, Ingrid Bergman, Paul Henreid, Claude Rains;In Casablanca in December 1941, a cynical American expatriate encounters a former lover, with unforeseen complications.;English, French, German, Italian;USA;8.5;NULL;Warner Bros. Pictures
A Guy Named Joe;1943;PASSED;120;Drama, Romance, War;Victor Fleming;Chandler Sprague (story), David Boehm (story), Frederick Hazlitt Brennan (adaptation), Dalton Trumbo (screenplay);Spencer Tracy, Irene Dunne, Van Johnson, Ward Bond;A dead World War II bomber pilot named Pete Sandidge, becomes the guardian angel of another pilot, Ted Randall. He guides Ted through battle and helping him to romance his old girlfriend, despite her excessive devotion to Sandidge's memory.;English;USA;7.0;NULL;MGM Home Entertainment
Bathing Beauty;1944;PASSED;101;Comedy, Musical;George Sidney;Kenneth Earl (story), M.M. Musselman (story), Curtis Kenyon (story), Joseph Schrank (adaptation), Dorothy Kingsley (screenplay), Allen Boretz (screenplay), Frank Waldman (screenplay);Red Skelton, Esther Williams, Basil Rathbone, Bill Goodwin;A contrived misunderstanding leads to the breakup of a songwriter and his fiancée. She returns to work as a gym teacher at an all-girls school, but a legal loophole allows the man to enroll as one of her students.;English, Spanish, French;USA;6.5;NULL;Metro-Goldwyn-Mayer
Laura;1944;APPROVED;88;Drama, Film-Noir, Mystery;Otto Preminger;Vera Caspary (novel), Jay Dratler (screen play), Samuel Hoffenstein (screen play), Elizabeth Reinhardt (screen play);Gene Tierney, Dana Andrews, Clifton Webb, Vincent Price;A police detective falls in love with the woman whose murder he is investigating.;English;USA;8.1;NULL;20th Century Fox
I Accuse My Parents;1944;APPROVED;68;Crime, Drama;Sam Newfield;Arthur Caesar (original story), Harry L. Fraser (screenplay), Marjorie Dudley (screenplay);Robert Lowell, Mary Beth Hughes, John Miljan, Vivienne Osborne;Young man goes to work for gangsters to impress his nightclub-singer girlfriend.;English;USA;2.3;NULL;Producers Releasing Corporation
Double Indemnity;1944;PASSED;107;Crime, Drama, Film-Noir;Billy Wilder;Billy Wilder (screenplay), Raymond Chandler (screenplay), James M. Cain (from the novel by);Fred MacMurray, Barbara Stanwyck, Edward G. Robinson, Porter Hall;An insurance representative lets himself be talked into a murder/insurance fraud scheme that arouses an insurance investigator's suspicions.;English;USA;8.3;NULL;Paramount Pictures
Arsenic and Old Lace;1944;NOT RATED;118;Comedy, Crime, Thriller;Frank Capra;Julius J. Epstein (screen play), Philip G. Epstein (screen play), Joseph Kesselring (play);Cary Grant, Priscilla Lane, Raymond Massey, Jack Carson;A drama critic learns on his wedding day that his beloved maiden aunts are homicidal maniacs, and that insanity runs in his family.;English, German;USA;8.0;NULL;Warner Bros. Pictures
The Lost Weekend;1945;NOT RATED;101;Drama, Film-Noir;Billy Wilder;Charles R. Jackson (from the novel by), Charles Brackett (screen play), Billy Wilder (screen play);Ray Milland, Jane Wyman, Phillip Terry, Howard Da Silva;The desperate life of a chronic alcoholic is followed through a four-day drinking bout.;English;USA;8.0;NULL;Paramount Pictures
The Valley of Decision;1945;PASSED;119;Drama;Tay Garnett;John Meehan (screen play), Sonya Levien (screen play), Marcia Davenport (based on the novel by);Greer Garson, Gregory Peck, Donald Crisp, Lionel Barrymore;Mary Rafferty comes from a poor family of steel mill workers in 19th Century Pittsburgh. Her family objects when she goes to work as a maid for the wealthy Scott family which controls the ...;English;USA;7.4;NULL;Warner Home Video
Brief Encounter;1945;NOT RATED;86;Drama, Romance;David Lean;NULL;Celia Johnson, Trevor Howard, Stanley Holloway, Joyce Carey;Meeting a stranger in a railway station, a woman is tempted to cheat on her husband.;English;UK;8.1;NULL;Universal Pictures
Spellbound;1945;UNRATED;111;Film-Noir, Mystery, Romance;Alfred Hitchcock;"Ben Hecht (screen play), Frances Beeding (suggested by novel: """"The House of Dr. Edwardes""""), Angus MacPhail (adaptation)";Ingrid Bergman, Gregory Peck, Michael Chekhov, Leo G. Carroll;A psychiatrist protects the identity of an amnesia patient accused of murder while attempting to recover his memory.;English;USA;7.6;NULL;Twentieth Century Fox Home Entertainment
State Fair;1945;APPROVED;100;Comedy, Drama, Musical;Walter Lang;Oscar Hammerstein II (screenplay), Philip Stong (from a novel by), Sonya Levien (adapted by), Paul Green (adapted by);Jeanne Crain, Dana Andrews, Dick Haymes, Vivian Blaine;"The Frake family attends the annual Iowa State Fair; each member of the clan has their own reason for doing so.";English;USA;7.1;NULL;20th Century Fox
Notorious;1946;APPROVED;101;Drama, Film-Noir, Romance;Alfred Hitchcock;Ben Hecht;Cary Grant, Ingrid Bergman, Claude Rains, Louis Calhern;A woman is asked to spy on a group of Nazi friends in South America. How far will she have to go to ingratiate herself with them?;English, French, Portuguese;USA;8.0;NULL;RKO Radio Pictures
It's a Wonderful Life;1946;PG;130;Drama, Family, Fantasy;Frank Capra;Frances Goodrich (screenplay), Albert Hackett (screenplay), Frank Capra (screenplay), Jo Swerling (additional scenes), Philip Van Doren Stern (story);James Stewart, Donna Reed, Lionel Barrymore, Thomas Mitchell;An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.;English;USA;8.6;NULL;Liberty Films
Duel in the Sun;1946;UNRATED;129;Drama, Romance, Western;King Vidor, Otto Brower, William Dieterle, Sidney Franklin, William Cameron Menzies, David O. Selznick, Josef von Sternberg;David O. Selznick (screenplay), Niven Busch (suggested by a novel by), Oliver H.P. Garrett (adaptation);Jennifer Jones, Joseph Cotten, Gregory Peck, Lionel Barrymore;Beautiful half-breed Pearl Chavez becomes the ward of her dead father's first love and finds herself torn between her sons, one good and the other bad.;English;USA;6.9;NULL;Selznick Releasing
The Best Years of Our Lives;1946;PASSED;170;Drama, Romance, War;William Wyler;Robert E. Sherwood (screen play), MacKinlay Kantor (from a novel by);Myrna Loy, Fredric March, Dana Andrews, Teresa Wright;Three World War II veterans return home to small-town America to discover that they and their families have been irreparably changed.;English;USA;8.1;NULL;RKO Radio Pictures
The Big Sleep;1946;APPROVED;114;Crime, Film-Noir, Mystery;Howard Hawks;William Faulkner (screen play), Leigh Brackett (screen play), Jules Furthman (screen play), Raymond Chandler (from the novel by);Humphrey Bogart, Lauren Bacall, John Ridgely, Martha Vickers;Private detective Philip Marlowe is hired by a rich family. Before the complex case is over, he's seen murder, blackmail, and what might be love.;English;USA;8.0;NULL;Warner Bros. Pictures
Out of the Past;1947;NOT RATED;97;Crime, Drama, Film-Noir;Jacques Tourneur;Daniel Mainwaring (screenplay), Daniel Mainwaring (novel);Robert Mitchum, Jane Greer, Kirk Douglas, Rhonda Fleming;A private eye escapes his past to run a gas station in a small town, but his past catches up with him. Now he must return to the big city world of danger, corruption, double crosses and duplicitous dames.;English, American Sign Language;USA;8.1;NULL;WARNER BROTHERS PICTURES
Gentleman's Agreement;1947;APPROVED;118;Drama, Romance;Elia Kazan;Laura Z. Hobson (novel), Moss Hart (screen play);Gregory Peck, Dorothy McGuire, John Garfield, Celeste Holm;A reporter pretends to be Jewish in order to cover a story on anti-Semitism, and personally discovers the true depths of bigotry and hatred.;English;USA;7.4;NULL;Twentieth Century Fox Home Entertainment
The Lady from Shanghai;1947;NOT RATED;87;Crime, Drama, Film-Noir;Orson Welles;Sherwood King (story based on a novel by), Orson Welles (screenplay);Rita Hayworth, Orson Welles, Everett Sloane, Glenn Anders;Fascinated by gorgeous Mrs. Bannister, seaman Michael O'Hara joins a bizarre yachting cruise, and ends up mired in a complex murder plot.;English, Cantonese;USA;7.7;NULL;Columbia Pictures Corporation
Tycoon;1947;APPROVED;128;Romance, Adventure, Drama;Richard Wallace;Borden Chase (screenplay), John Twist (screenplay), C.E. Scoggins (adapted from the novel by);John Wayne, Laraine Day, Cedric Hardwicke, Judith Anderson;Engineer Johnny Munroe is enlisted to build a railroad tunnel through a mountain to reach mines. His task is complicated, and his ethics are compromised, when he falls in love with his ...;English;USA;6.3;NULL;RKO Radio Pictures
The Pirate;1948;APPROVED;102;Adventure, Comedy, Musical;Vincente Minnelli;Albert Hackett (screenplay), Frances Goodrich (screenplay), S.N. Behrman (play);Judy Garland, Gene Kelly, Walter Slezak, Gladys Cooper;A girl is engaged to the local richman, but meanwhile she has dreams about the legendary pirate Macoco. A traveling singer falls in love with her and to impress her he poses as the pirate.;English;USA;7.1;NULL;Metro-Goldwyn-Mayer (MGM)
Bicycle Thieves;1948;NOT RATED;89;Drama;Vittorio De Sica;Cesare Zavattini (story), Luigi Bartolini (novel), Oreste Biancoli (screenplay), Suso Cecchi D'Amico (screenplay), Vittorio De Sica (screenplay), Adolfo Franci (screenplay), Gherardo Gherardi (screenplay), Gerardo Guerrieri (screenplay), Cesare Zavattini (screenplay);Lamberto Maggiorani, Enzo Staiola, Lianella Carell, Elena Altieri;In post-war Italy, a working-class man's bicycle is stolen. He and his son set out to find it.;Italian;Italy;8.3;NULL;ENIC
Open Secret;1948;APPROVED;68;Crime, Drama;John Reinhardt;Henry Blankfort (screenplay), Ted Murkland (story), Max Wilk (screenplay), Max Wilk (story);John Ireland, Jane Randolph, Sheldon Leonard, Roman Bohnen;"Newlyweds come to visit groom's friend, only to discover him missing; and their investigation uncovers evidence of a ring of anti-semites terrorizing the neighborhood.";English;USA;7.0;NULL;Eagle-Lion
Red River;1948;APPROVED;133;Action, Adventure, Romance;Howard Hawks, Arthur Rosson;"Borden Chase (screenplay), Charles Schnee (screenplay), Borden Chase (from """"The Saturday Evening Post"""" story)";John Wayne, Montgomery Clift, Joanne Dru, Walter Brennan;Dunson leads a cattle drive, the culmination of over 14 years of work, to its destination in Missouri. But his tyrannical behavior along the way causes a mutiny, led by his adopted son.;English, Spanish;USA;7.8;NULL;MGM Home Entertainment
The Treasure of the Sierra Madre;1948;APPROVED;126;Adventure, Drama, Western;John Huston;John Huston (screenplay), B. Traven (based on the novel by);Humphrey Bogart, Walter Huston, Tim Holt, Bruce Bennett;Fred Dobbs and Bob Curtin, two Americans searching for work in Mexico, convince an old prospector to help them mine for gold in the Sierra Madre Mountains.;English, Spanish;USA;8.3;NULL;WARNER BROTHERS PICTURES
Rope;1948;APPROVED;80;Crime, Drama, Thriller;Alfred Hitchcock;Hume Cronyn (adapted by), Patrick Hamilton (from the play by), Arthur Laurents (screenplay);John Dall, Farley Granger, Edith Evanson, Douglas Dick;"Two young men strangle their """"inferior"""" classmate, hide his body in their apartment, and invite his friends and family to a dinner party as a means to challenge the """"perfection"""" of their crime.";English;USA;8.0;NULL;Warner Bros. Pictures
Sands of Iwo Jima;1949;APPROVED;100;Action, Drama, Romance;Allan Dwan;Harry Brown (screenplay), James Edward Grant (screenplay), Harry Brown (story);John Wayne, John Agar, Adele Mara, Forrest Tucker;A dramatization of the World War II Battle of Iwo Jima.;English;USA;7.2;NULL;Republic Pictures Home Video
