Title;Year;Rated;Runtime;Genre;Director;Writer;Actors;Plot;Language;Country;imdbRating;BoxOffice;Production
Sarkar;2005;NULL;124;Crime, Drama;Ram Gopal Varma;Manish Gupta;Amitabh Bachchan, Abhishek Bachchan, Kay Kay Menon, Supriya Pathak;The authority of a man, who runs a parallel government in Mumbai, is challenged. His son rises to face his enemies.;Hindi, Marathi;India;7.7;NULL;Saavn
Mad Hot Ballroom;2005;PG;105;Documentary, Family, Music;Marilyn Agrelo;Amy Sewell;Heather Berman, Emma Therese Biegacki, Eva Carrozza, Evangelina Carrozzo;The students of several New York City elementary schools learn ballroom dancing and compete in a city wide dance competition.;English, Spanish;USA;7.5;7899271;Paramount Classics
The Sisterhood of the Traveling Pants;2005;PG;119;Comedy, Drama, Family;Ken Kwapis;Ann Brashares (novel), Delia Ephron (screenplay), Elizabeth Chandler (screenplay);Amber Tamblyn, Alexis Bledel, America Ferrera, Blake Lively;Four best girlfriends hatch a plan to stay connected with one another as their lives start off in different directions: they pass around a pair of secondhand jeans that fits each of their bodies perfectly.;English, Greek, Spanish;USA;6.5;43504854;Warner Bros. Pictures
Dungeons & Dragons: Wrath of the Dragon God;2005;NOT RATED;105;Action, Adventure, Fantasy;Gerry Lively;Robert Kimmel, Gerry Lively, Brian Rudnick;Bruce Payne, Mark Dymond, Clemency Burton-Hill, Ellie Chidzey;Based on the phenomenally successful role-playing game, Dungeons & Dragons 2 takes you deeper into the dark and fantastical world of this fantasy epic. When the evil sorcerer Damodar braves...;English;Germany, UK, USA;4.9;NULL;Warner Home Video
Trust the Man;2005;R;103;Comedy, Drama, Romance;Bart Freundlich;Bart Freundlich;David Duchovny, Julianne Moore, Sascha Gillen, Brianna Gillen;After much drama, cheating, and trial separations, two men fight to save their respective relationships.;English;USA;5.7;1466103;Fox Searchlight Pictures
Æon Flux;2005;PG-13;93;Action, Sci-Fi;Karyn Kusama;Phil Hay, Matt Manfredi, Peter Chung (characters);Charlize Theron, Marton Csokas, Jonny Lee Miller, Sophie Okonedo;Aeon Flux is a mysterious assassin working for the Monicans, a group of rebels trying to overthrow the government. When she is sent on a mission to kill the Chairman, a whole new mystery is found.;English;USA;5.5;25857987;Paramount Pictures
Wah-Wah;2005;R;120;Drama;Richard E. Grant;Richard E. Grant;Gabriel Byrne, Emily Watson, Julie Walters, Nicholas Hoult;Set at the end of the '60s, as Swaziland is about to receive independence from Great Britain, the film follows the young Ralph Compton, at 12, through his parents' traumatic separation, ...;English;UK, France, South Africa;6.9;159111;Samuel Goldwyn Films
A Sound of Thunder;2005;PG-13;101;Action, Adventure, Horror;Peter Hyams;Ray Bradbury (short story), Thomas Dean Donnelly (screen story), Joshua Oppenheimer (screen story), Thomas Dean Donnelly (screenplay), Joshua Oppenheimer (screenplay), Gregory Poirier (screenplay);Armin Rohde, Heike Makatsch, Jemima Rooper, David Oyelowo;When a scientist sent back to the prehistoric era strays off the path he causes a chain of events that alters history in disastrous ways.;English, Mandarin;Czech Republic, UK, Germany, USA;4.2;1717608;Warner Bros.
Transporter 2;2005;PG-13;87;Action, Crime, Thriller;Louis Leterrier;Luc Besson (characters), Robert Mark Kamen (characters), Luc Besson, Robert Mark Kamen;Jason Statham, Alessandro Gassman, Amber Valletta, Kate Nauta;Mercenary Frank Martin, who specializes moving goods of all kinds, surfaces again this time in Miami, Florida when he's implicated in the kidnapping of the young son of a powerful USA official.;English, French, Italian;France;6.3;NULL;NULL
Underclassman;2005;PG-13;95;Action, Comedy, Crime;Marcos Siega;Brent Goldberg (story), David Wagner (story), Nick Cannon (story), David Wagner (screenplay), Brent Goldberg (screenplay);Nick Cannon, Adrian Young, Art Bonilla, Bart McCarthy;A young detective goes undercover at an elite private school to destroy an international stolen car ring.;English;USA;4.1;5567645;Miramax Films
