Title;Year;Netflix;Hulu;Prime Video;Disney+;Runtime
Swingers;1996;0;1;0;0;96
Food, Inc.;2008;0;1;0;0;94
Embrace of the Serpent;2015;0;1;1;0;125
Melancholia;2011;0;1;0;0;135
Minding the Gap;2019;0;1;0;0;93
The Second Mother;2015;0;1;1;0;112
Notes on a Scandal;2006;0;1;0;0;92
Star Trek VI: The Undiscovered Country;1991;0;1;1;0;110
Love & Mercy;2015;0;1;1;0;121
A Taxi Driver;2017;0;1;0;0;137
The Prince of Egypt;1998;0;1;0;0;99
Tickled;2016;0;1;0;0;92
Sorry to Bother You;2018;0;1;0;0;112
The Way Back;2010;0;1;1;0;108
Detroit;2017;0;1;0;0;143
Risky Business;1983;0;1;0;0;99
The Biggest Little Farm;2019;0;1;0;0;91
Lucky;2017;0;1;1;0;88
Border;2018;0;1;0;0;110
Natural Born Killers;1994;0;1;0;0;118
If Beale Street Could Talk;2018;0;1;0;0;119
Horton Hears a Who!;2008;0;1;0;0;86
Romancing the Stone;1984;0;1;0;0;106
The Beatles: Eight Days a Week - The Touring Years;2016;0;1;0;0;106
Phone Booth;2002;0;1;0;0;81
Gods and Monsters;1998;0;1;0;0;105
Force Majeure;2014;0;1;0;0;86
Turtles Can Fly;2005;0;1;0;0;98
Thelma;2017;0;1;0;0;116
The Sisters Brothers;2018;0;1;0;0;122
Tangerine;2015;0;1;0;0;88
Monos;2019;0;1;0;0;102
The Nightingale;2019;0;1;0;0;136
BPM (Beats per Minute);2017;0;1;0;0;143
Bend It Like Beckham;2002;0;1;0;0;112
Hud;1963;0;1;1;0;112
Vice;2018;0;1;0;0;28
The Book of Eli;2010;0;1;0;0;118
The 12th Man;2017;0;1;0;0;135
The Messenger;2009;0;1;1;0;113
Cartel Land;2015;0;1;1;0;100
Professor Marston and the Wonder Women;2017;0;1;0;0;108
A Brilliant Young Mind;2014;0;1;1;0;111
Antz;1998;0;1;0;0;83
The Next Three Days;2010;0;1;1;0;133
Megan Leavey;2017;0;1;0;0;116
Jesus Camp;2006;0;1;0;0;84
RBG;2018;0;1;0;0;98
Wild Rose;2019;0;1;0;0;101
Kinsey;2004;0;1;0;0;118
Demolition Man;1993;0;1;0;0;115
Spirit: Stallion of the Cimarron;2002;0;1;0;0;83
The Good, The Bad, The Weird;2008;0;1;0;0;139
"Waiting for ""Superman""";2010;0;1;1;0;111
The Skeleton Twins;2014;0;1;1;0;93
I Can Only Imagine;2018;0;1;1;0;110
Woman at War;2018;0;1;0;0;101
Johnny Guitar;1954;0;1;1;0;110
Jane;2017;0;1;0;1;120
Monster House;2006;0;1;0;0;91
Hail Satan?;2019;0;1;0;0;95
Ingrid Goes West;2017;0;1;0;0;98
Dogman;2018;0;1;0;0;103
Anthropoid;2016;0;1;0;0;120
Missing Link;2019;0;1;0;0;93
Star Trek III: The Search for Spock;1984;0;1;1;0;105
Cashback;2006;0;1;0;0;102
Juliet, Naked;2018;0;1;1;0;97
The Absent One;2014;0;1;0;0;119
Big Time Adolescence;2020;0;1;0;0;91
Get Smart;2008;0;1;0;0;110
Life, Animated;2016;0;1;0;0;92
Sands of Iwo Jima;1949;0;1;0;0;100
Killer Joe;2011;0;1;0;0;102
Sword Art Online: The Movie - Ordinal Scale;2017;0;1;0;0;119
The Wave;2015;0;1;0;0;90
Colossal;2016;0;1;0;0;109
Luce;2019;0;1;0;0;109
Oculus;2014;0;1;0;0;104
Standing in the Shadows of Motown;2002;0;1;1;0;108
Borg vs McEnroe;2017;0;1;0;0;107
Denial;2016;0;1;0;0;109
Best of Enemies;2015;0;1;0;0;87
Prospect;2018;0;1;0;0;100
Arbitrage;2012;0;1;1;0;107
Plus One;2019;0;1;0;0;98
Active Measures;2018;0;1;0;0;109
Amazing Grace;2018;0;1;0;0;118
The Art of Self-Defense;2019;0;1;0;0;104
The Clovehitch Killer;2018;0;1;0;0;109
Rare Exports: A Christmas Tale;2010;0;1;1;0;84
Venus in Fur;2013;0;1;0;0;96
Jackass 3D;2010;0;1;1;0;95
I Kill Giants;2018;0;1;0;0;106
The Queen of Versailles;2012;0;1;0;0;100
2 Days in Paris;2007;0;1;1;0;96
The Wrecking Crew;2008;0;1;0;0;105
The Villainess;2017;0;1;0;0;124
Europa Report;2013;0;1;0;0;90
The Cooler;2003;0;1;1;0;101
In the Fade;2017;0;1;0;0;106
The Road to El Dorado;2000;0;1;0;0;89
Christine;2016;0;1;0;0;110
Hearts Beat Loud;2018;0;1;0;0;97
Whitney;2018;0;1;0;0;30
Angel of Mine;2019;0;1;0;0;98
Hounds of Love;2016;0;1;0;0;108
Pawn Sacrifice;2015;0;1;0;0;115
Transformers: Dark of the Moon;2011;0;1;1;0;154
Ben Is Back;2018;0;1;0;0;103
Wayne's World 2;1993;0;1;1;0;95
No Strings Attached;2011;0;1;1;0;108
Along with the Gods: The Two Worlds;2017;0;1;0;0;139
Young & Beautiful;2013;0;1;0;0;95
The Pirates! In an Adventure with Scientists!;2012;0;1;0;0;88
Lo and Behold: Reveries of the Connected World;2016;0;1;0;0;98
Operation Finale;2018;0;1;1;0;122
78/52;2017;0;1;0;0;91
Gloria;2013;0;1;0;0;122
Princess Cyd;2017;0;1;0;0;96
The Domestics;2018;0;1;1;0;95
Andy Irons: Kissed by God;2018;0;1;1;0;100
Joe Strummer: The Future Is Unwritten;2007;0;1;0;0;124
The Commuter;2018;0;1;1;0;105
Dirty Wars;2013;0;1;0;0;87
Soul Food;1997;0;1;0;0;115
Sidewalls;2011;0;1;0;0;95
Miss Stevens;2016;0;1;0;0;86
Footloose;2011;0;1;1;0;113
Charlotte's Web;1973;0;1;1;0;97
Shirley Valentine;1989;0;1;0;0;108
Drinking Buddies;2013;0;1;0;0;90
The Keeper of Lost Causes;2013;0;1;0;0;96
Sea of Shadows;2019;0;1;0;0;104
Oh Lucy!;2017;0;1;0;0;95
The Spy Who Dumped Me;2018;0;1;1;0;117
Skate Kitchen;2018;0;1;0;0;106
Experimenter;2015;0;1;0;0;98
What They Had;2018;0;1;0;0;101
Burn;2012;0;1;1;0;88
Margarita with a Straw;2015;0;1;1;0;100
Odd Thomas;2013;0;1;1;0;100
Every Day;2018;0;1;1;0;97
Nothing Like a Dame;2018;0;1;0;0;84
Brian Banks;2019;0;1;0;0;99
It's a Disaster;2013;0;1;1;0;88
The Little Death;2014;0;1;0;0;96
Becoming Bond;2017;0;1;0;0;95
After the Screaming Stops;2018;0;1;0;0;98
Slums of Beverly Hills;1998;0;1;0;0;91
Lords of Chaos;2019;0;1;0;0;118
The Frozen Ground;2013;0;1;1;0;105
Paranoid Park;2007;0;1;0;0;85
The Hunchback of Notre Dame;1923;0;1;0;1;91
Support the Girls;2018;0;1;0;0;93
The China Hustle;2018;0;1;0;0;82
Paranormal Activity 3;2011;0;1;0;0;83
Death Wish;2018;0;1;1;0;107
Cold Case Hammarskjöld;2019;0;1;0;0;128
Anna and the Apocalypse;2017;0;1;1;0;93
Somm;2013;0;1;0;0;94
Love, Gilda;2018;0;1;0;0;88
Star Trek: Insurrection;1998;0;1;1;0;103
Bad Company;1972;0;1;1;0;84
Dior and I;2015;0;1;1;0;90
Where'd You Go, Bernadette;2019;0;1;0;0;109
Gorky Park;1983;0;1;1;0;128
Beach Rats;2017;0;1;0;0;98
Manderlay;2005;0;1;0;0;139
High Strung;2016;0;1;1;0;96
The Last Days;2013;0;1;1;0;100
Free Willy;1993;0;1;0;0;112
First Girl I Loved;2016;0;1;0;0;90
Man on a Ledge;2012;0;1;1;0;102
Barking Dogs Never Bite;2000;0;1;0;0;110
Destroyer;2018;0;1;0;0;121
Meek's Cutoff;2010;0;1;1;0;104
No One Knows About Persian Cats;2009;0;1;0;0;106
Villains;2019;0;1;0;0;90
The Limehouse Golem;2016;0;1;0;0;109
Walking Tall;1973;0;1;0;0;86
Tragedy Girls;2017;0;1;0;0;98
Pet Sematary;2019;0;1;1;0;101
The Overnight;2015;0;1;1;0;79
Star Trek: The Motion Picture;1979;0;1;1;0;132
Crime + Punishment;2018;0;1;0;0;100
Vincere;2009;0;1;0;0;128
Southbound;2015;0;1;1;0;89
The Quake;2018;0;1;0;0;106
American Ultra;2015;0;1;1;0;96
Hellbound: Hellraiser II;1988;0;1;1;0;97
The Hero;2017;0;1;0;0;96
Tom of Finland;2017;0;1;0;0;117
Fyre Fraud;2019;0;1;0;0;96
David Crosby: Remember My Name;2019;0;1;0;0;95
Gilbert;2017;0;1;0;0;94
Framing John DeLorean;2019;0;1;0;0;109
Marrowbone;2017;0;1;0;0;110
Kusama : Infinity;2018;0;1;0;0;76
Please Stand By;2018;0;1;0;0;51
Those People;2015;0;1;0;0;89
The Time That Remains;2009;0;1;0;0;109
The Mexican;2001;0;1;0;0;123
Paranormal Activity 2;2010;0;1;1;0;91
Red Dog: True Blue;2016;0;1;0;0;88
Assassination Nation;2018;0;1;0;0;108
Friends with Kids;2012;0;1;1;0;107
Diana Vreeland: The Eye Has to Travel;2012;0;1;0;0;86
I Remember You;2017;0;1;1;0;105
Forever My Girl;2018;0;1;1;0;108
The Furies;1950;0;1;0;0;82
Meeting Gorbachev;2019;0;1;0;0;90
Welcome to the Rileys;2010;0;1;1;0;110
Hector and the Search for Happiness;2014;0;1;0;0;120
Bad Reputation;2018;0;1;0;0;90
Waiting to Exhale;1995;0;1;0;0;124
Pyewacket;2017;0;1;0;0;90
The Swan Princess;1994;0;1;0;0;93
Grabbers;2012;0;1;0;0;94
Aniara;2019;0;1;0;0;106
The Housemaid;2010;0;1;0;0;107
Little Woods;2018;0;1;0;0;105
Elvira, Mistress of the Dark;1988;0;1;1;0;N/A
In Search of Greatness;2018;0;1;0;0;77
Food Evolution;2017;0;1;0;0;92
Sinbad: Legend of the Seven Seas;2003;0;1;0;0;86
The Den;2013;0;1;0;0;81
Wolf Warrior 2;2017;0;1;0;0;123
Dumb: The Story of Big Brother Magazine;2017;0;1;0;0;79
Goodbye First Love;2011;0;1;0;0;110
The 33;2015;0;1;0;0;127
Mike Wallace Is Here;2019;0;1;0;0;90
March of the Penguins 2;2017;0;1;0;0;85
Teen Spirit;2019;0;1;0;1;93
Seymour: An Introduction;2015;0;1;0;0;84
The Man Who Killed Hitler and Then the Bigfoot;2019;0;1;0;0;98
The Childhood of a Leader;2016;0;1;0;0;115
The Standoff at Sparrow Creek;2019;0;1;0;0;88
A Very Sordid Wedding;2017;0;1;1;0;109
Toni Morrison: The Pieces I Am;2019;0;1;0;0;120
Dina;2017;0;1;0;0;265
Dog Days;2018;0;1;0;0;113
Monsters and Men;2018;0;1;0;0;96
The Canal;2014;0;1;1;0;92
Leap Year;2010;0;1;0;0;100
Raise Hell: The Life & Times of Molly Ivins;2019;0;1;0;0;93
Under the Tree;2017;0;1;0;0;89
The League of Extraordinary Gentlemen;2003;0;1;0;0;110
Hello I Must Be Going;2012;0;1;1;0;95
Two Trains Runnin';2016;0;1;0;0;80
The Jewel of the Nile;1985;0;1;0;0;106
Middle Men;2009;0;1;1;0;105
Before I Go to Sleep;2014;0;1;0;0;92
Eating Animals;2018;0;1;0;0;94
Mom and Dad;2018;0;1;0;0;86
Touched with Fire;2016;0;1;1;0;106
Cunningham;2019;0;1;0;0;93
Starfish;2018;0;1;1;0;99
The Yellow Handkerchief;2009;0;1;1;0;102
The First Monday in May;2016;0;1;0;0;90
The Miracle Season;2018;0;1;0;0;101
Burden;2016;0;1;0;0;117
Downsizing;2017;0;1;1;0;135
Lowlife;2017;0;1;1;0;120
The Blue Room;2014;0;1;0;0;76
The Chumscrubber;2005;0;1;0;0;108
Pledge;2019;0;1;0;0;124
Universal Soldier;1992;0;1;0;0;102
Non-Fiction;2018;0;1;0;0;108
Larger than Life: The Kevyn Aucoin Story;2017;0;1;0;0;102
The Bookshop;2017;0;1;1;0;113
Baskın;2015;0;1;0;0;101
A Life Less Ordinary;1997;0;1;0;0;103
Girls Just Want to Have Fun;1985;0;1;1;0;90
The Ant Bully;2006;0;1;0;0;88
Overboard;2018;0;1;1;0;112
Henry Gamble's Birthday Party;2015;0;1;1;0;87
Nico, 1988;2017;0;1;0;0;93
Diane;2019;0;1;0;0;95
Joshy;2016;0;1;0;0;93
Leaving;2009;0;1;0;0;85
Finding Your Feet;2017;0;1;1;0;111
The Princess of Montpensier;2010;0;1;0;0;139
Citizen Jane: Battle for the City;2017;0;1;0;0;92
High-Rise;2015;0;1;0;0;119
Unlocked;2017;0;1;0;0;98
Far From The Tree;2017;0;1;0;0;93
Freak Show;2018;0;1;0;0;86
C.S.A.: The Confederate States of America;2005;0;1;0;0;89
AWOL;2017;0;1;1;0;100
Haze;2017;0;1;1;0;106
Maze;2017;0;1;0;0;159
Legion of Brothers;2017;0;1;0;0;79
Mister America;2019;0;1;0;0;89
The Archer;2017;0;1;0;0;86
Tank Girl;1995;0;1;0;0;104
Little Joe;2019;0;1;0;0;105
Scotch: A Golden Dream;2019;0;1;1;0;89
The Prodigy;2019;0;1;1;0;92
Divide and Conquer: The Story of Roger Ailes;2018;0;1;0;0;107
This Is Not Berlin;2019;0;1;0;0;115
The Last Word;2017;0;1;0;0;92
The Hustle;2019;0;1;1;0;93
The Unicorn;2019;0;1;1;0;22
Whose Streets?;2017;0;1;0;0;90
Vox Lux;2018;0;1;0;0;114
Take Every Wave: The Life of Laird Hamilton;2018;0;1;0;0;118
Leaning Into the Wind: Andy Goldsworthy;2018;0;1;0;0;97
The Amazing Johnathan Documentary;2019;0;1;0;0;91
Unmade Beds;2009;0;1;0;0;97
Case 39;2009;0;1;1;0;109
The X Files: I Want to Believe;2008;0;1;0;0;104
The Gospel According to André;2018;0;1;0;0;93
A Good Old Fashioned Orgy;2011;0;1;1;0;95
Children of the Corn;1984;0;1;1;0;92
The Osiris Child;2016;0;1;0;0;99
Friday the 13th: The Final Chapter;1984;0;1;1;0;91
Ballet 422;2014;0;1;0;0;75
Shelley;2016;0;1;0;0;92
The Escape;2018;0;1;0;0;101
Where Hands Touch;2018;0;1;0;0;122
The Myth of the American Sleepover;2011;0;1;0;0;96
Jawline;2019;0;1;0;0;99
Anchor and Hope;2017;0;1;0;0;113
Antiviral;2012;0;1;0;0;108
Flower;2017;0;1;0;0;90
All Square;2018;0;1;0;0;93
The Day Shall Come;2019;0;1;0;0;87
Depraved;2019;0;1;0;0;114
Wonder Park;2019;0;1;1;0;85
Go Tigers!;2001;0;1;0;0;103
Already Tomorrow in Hong Kong;2016;0;1;0;0;78
We Are What We Are;2010;0;1;1;0;105
Hungry Hearts;2015;0;1;0;0;109
The Tall Man;2012;0;1;1;0;106
Scenic Route;2013;0;1;0;0;82
Ms. Purple;2019;0;1;0;0;87
What Men Want;2019;0;1;1;0;117
A Crooked Somebody;2018;0;1;0;0;102
The Kid;2019;0;1;1;1;100
Do I Sound Gay?;2015;0;1;0;0;77
The Beach Bum;2019;0;1;0;0;95
The Whistle Blower;1986;0;1;1;0;100
Road Games;2015;0;1;0;0;101
Let the Sunshine In;2017;0;1;0;0;94
Wild Card;2015;0;1;1;0;92
Æon Flux;2005;0;1;0;0;93
Brick Mansions;2014;0;1;0;0;90
Planet 51;2009;0;1;0;0;91
Padre nuestro;2007;0;1;0;0;94
Run the Race;2019;0;1;1;0;101
Ramen Heads;2017;0;1;0;0;93
Beyond the Gates;2016;0;1;0;0;84
House of D;2004;0;1;1;0;97
The Devil's Doorway;2018;0;1;0;0;76
Changeland;2019;0;1;0;0;86
The Year of Spectacular Men;2018;0;1;0;0;102
In Paris;2006;0;1;0;0;92
Trigun: Badlands Rumble;2010;0;1;0;0;90
Digging for Fire;2015;0;1;1;0;85
Before We Vanish;2017;0;1;0;0;129
Here to be Heard: The Story of the Slits;2018;0;1;0;0;86
The Lorax;1972;0;1;0;0;86
Stella's Last Weekend;2018;0;1;0;0;102
Kiki;2017;0;1;0;0;102
Midnighters;2018;0;1;0;0;94
The Brink;2019;0;1;1;0;30
Damsel;2018;0;1;0;0;113
Killing Them Safely;2015;0;1;0;0;100
Conan the Barbarian;2011;0;1;1;0;129
Family Law;2006;0;1;0;0;60
Cantinflas;2014;0;1;1;0;102
Madea's Big Happy Family;2011;0;1;1;0;106
What We Become;2015;0;1;0;0;85
Free Birds;2013;0;1;0;0;91
Righteous Kill;2008;0;1;0;0;101
I Still See You;2018;0;1;1;0;98
Men with Brooms;2002;0;1;0;0;102
The Girl King;2015;0;1;1;0;106
Foxfire;1996;0;1;1;0;102
WolfCop;2014;0;1;0;0;79
Star Trek V: The Final Frontier;1989;0;1;1;0;107
Pilgrimage;2017;0;1;0;0;96
UglyDolls;2019;0;1;0;0;87
Vita & Virginia;2019;0;1;0;0;110
Dementia;2015;0;1;0;0;75
Acrimony;2018;0;1;1;0;120
Afro Samurai: Resurrection;2009;0;1;0;0;97
Friday the 13th Part III;1982;0;1;1;0;95
Fun in Acapulco;1963;0;1;0;0;97
Mad to Be Normal;2017;0;1;0;0;106
The Last Race;2018;0;1;0;0;108
Undrafted;2016;0;1;0;0;90
2:22;2017;0;1;0;0;91
The Cleanse;2018;0;1;0;0;81
Take My Nose... Please!;2017;0;1;0;0;92
10x10;2018;0;1;0;0;88
Harry Benson: Shoot First;2016;0;1;0;0;87
The Reagan Show;2017;0;1;0;0;74
Race for Your Life, Charlie Brown;1977;0;1;1;0;76
Fairy Tail the Movie: Phoenix Priestess;2012;0;1;0;0;86
Tiny Toon Adventures: How I Spent My Vacation;1992;0;1;0;0;79
Proxy;2013;0;1;0;0;120
Welcome to Mercy;2018;0;1;0;0;103
Permanent;2017;0;1;1;0;93
Terminal;2018;0;1;0;0;128
Walking with the Enemy;2014;0;1;0;0;124
Crash Pad;2017;0;1;1;0;91
Abduction;2011;0;1;1;0;106
The Big Wedding;2013;0;1;1;0;89
Spinning Man;2018;0;1;0;0;100
Golden Exits;2018;0;1;0;0;94
Madea's Witness Protection;2012;0;1;1;0;114
Playing It Cool;2014;0;1;1;0;94
Greener Grass;2019;0;1;0;0;95
Errors of the Human Body;2012;0;1;0;0;101
Spaceship Earth;2020;0;1;0;0;113
The Quiet One;2019;0;1;0;0;98
The Pink Panther 2;2009;0;1;1;0;92
Phoenix Forgotten;2017;0;1;0;0;87
The Duchess of Langeais;2007;0;1;0;0;137
Texas Chainsaw 3D;2013;0;1;1;0;92
Boom for Real: The Late Teenage Years of Jean-Michel Basquiat;2018;0;1;0;0;78
American Folk;2018;0;1;1;0;99
Curvature;2017;0;1;0;0;90
The Alchemist Cookbook;2016;0;1;1;0;82
I, Frankenstein;2014;0;1;1;0;92
Love After Love;2018;0;1;0;0;91
The Houses October Built;2014;0;1;0;0;91
Free Willy 2: The Adventure Home;1995;0;1;0;0;95
11 Minutes;2015;0;1;0;0;81
Running with the Devil;2019;0;1;0;0;100
28 Hotel Rooms;2012;0;1;0;0;82
Bolden;2019;0;1;1;0;108
The Monkey King 3;2018;0;1;0;0;114
Getting Go: The Go Doc Project;2013;0;1;1;0;91
Sherlock Gnomes;2018;0;1;1;0;86
Batman & Bill;2017;0;1;0;0;93
Cruise;2018;0;1;0;0;90
Distorted;2018;0;1;0;0;86
The Numbers Station;2013;0;1;1;0;89
In a Relationship;2018;0;1;0;0;92
The Female Brain;2017;0;1;0;0;98
Rags;2012;0;1;0;0;30
The Gardener;2017;0;1;1;0;N/A
100 Streets;2016;0;1;0;0;93
Legendary;2010;0;1;1;0;92
And So It Goes;2014;0;1;0;0;94
Chef Flynn;2018;0;1;0;0;82
6 Below: Miracle on the Mountain;2017;0;1;0;0;98
Back in Time;2015;0;1;1;0;95
Tamara;2005;0;1;0;0;98
Grace Jones: Bloodlight and Bami;2017;0;1;0;0;115
Racer and the Jailbird;2017;0;1;0;0;130
Romeo & Juliet;2013;0;1;0;0;118
Time Freak;2018;0;1;0;0;104
Who Let the Dogs Out;2019;0;1;0;0;70
The Cage Fighter;2018;0;1;0;0;81
Hollow in the Land;2017;0;1;0;0;92
Fun Size;2012;0;1;1;0;86
Black Gold;2011;0;1;1;0;130
Long Time Coming: A 1955 Baseball Story;2017;0;1;0;0;87
A Kind of Murder;2016;0;1;0;0;95
Barbie and the Three Musketeers;2009;0;1;0;0;81
The Colony;2013;0;1;0;0;93
Free Willy 3: The Rescue;1997;0;1;0;0;86
Black Cop;2017;0;1;0;0;91
Vault;2019;0;1;1;0;99
Primal;2010;0;1;0;0;97
Dark Shadows: The Haunting of Collinwood;2009;0;1;1;0;210
Nobody's Fool;2018;0;1;1;0;110
Bare;2015;0;1;0;0;90
Once Upon a Time in Venice;2017;0;1;0;0;94
Passage to Mars;2016;0;1;0;0;94
Mapplethorpe;2018;0;1;0;0;102
Gintama;2017;0;1;0;0;N/A
Dr. Feelgood;2016;0;1;0;0;N/A
The Burden;2017;0;1;1;0;15
The Tomorrow Man;2019;0;1;0;0;94
Pokémon the Movie: Volcanion and the Mechanical Marvel;2016;0;1;0;0;90
Half Magic;2018;0;1;0;0;94
Frank Serpico;2017;0;1;0;0;98
Bangkok Dangerous;2008;0;1;0;0;99
XX/XY;2002;0;1;0;0;91
Girl Most Likely;2012;0;1;1;0;103
ma ma;2015;0;1;1;0;111
Havana Motor Club;2015;0;1;0;0;80
Knives and Skin;2019;0;1;0;0;111
Body at Brighton Rock;2019;0;1;0;0;87
The Strange Ones;2018;0;1;0;0;81
Legends of Oz: Dorothy's Return;2014;0;1;0;0;88
Naz & Maalik;2014;0;1;0;0;86
The Snow Queen 3: Fire and Ice;2016;0;1;0;0;89
Black Rock;2012;0;1;0;0;83
Loro 1;2018;0;1;0;0;104
Banking on Bitcoin;2016;0;1;0;0;90
The Cokeville Miracle;2015;0;1;1;0;94
Trevor Noah: You Laugh But It's True;2011;0;1;0;0;N/A
The Ramen Girl;2008;0;1;0;0;102
Saint;2010;0;1;0;0;85
The Boost;1988;0;1;0;0;95
A Cinderella Christmas;2016;0;1;0;0;93
Manglehorn;2015;0;1;0;0;97
Matriarch;2018;0;1;1;0;91
Neat: The Story of Bourbon;2018;0;1;0;0;75
Sheep & Wolves;2016;0;1;0;0;85
The Prince;2014;0;1;0;0;N/A
The Mountain;2019;0;1;0;0;106
Dr. T & the Women;2000;0;1;1;0;122
Assassination Tango;2002;0;1;1;0;114
The Pagan King;2018;0;1;0;0;114
Sneakerheadz;2015;0;1;0;0;73
Casa de los Babys;2003;0;1;0;0;95
Trespassers;2019;0;1;0;0;88
Tracktown;2017;0;1;0;0;88
Serena;2014;0;1;1;0;109
Barbie in A Mermaid Tale 2;2012;0;1;0;0;73
Four Lovers;2010;0;1;0;0;103
Barbie in 'A Christmas Carol';2008;0;1;0;0;76
Stung;2015;0;1;0;0;87
Blind;2017;0;1;0;0;96
Food Choices;2016;0;1;0;0;91
Dismissed;2017;0;1;1;0;87
Trick;2019;0;1;0;0;100
The Confessions;2016;0;1;1;0;108
Wakko's Wish;1999;0;1;0;0;80
K: Missing Kings;2014;0;1;0;0;73
Sprung;1997;0;1;1;0;105
Most Likely to Murder;2018;0;1;0;0;90
Liz in September;2014;0;1;0;0;100
Astral;2018;0;1;0;0;83
Barbie: The Pearl Princess;2013;0;1;0;0;73
Raze;2013;0;1;0;0;87
A Teacher;2013;0;1;0;0;75
Hannie Caulder;1971;0;1;1;0;85
Daylight's End;2016;0;1;1;0;105
Passport to Paris;1999;0;1;0;0;87
Coffin Rock;2009;0;1;0;0;92
The Thousand Faces of Dunjia;2017;0;1;0;0;113
Damascus Cover;2018;0;1;0;0;93
Wrinkles the Clown;2019;0;1;0;0;75
Gator;1976;0;1;1;0;115
Get Big;2017;0;1;1;0;86
The Dinner;2017;0;1;1;0;114
Into the Ashes;2019;0;1;0;0;98
A Madea Family Funeral;2019;0;1;1;0;109
Barbie & Her Sisters in the Great Puppy Adventure;2015;0;1;0;0;76
Swindle;2013;0;1;1;0;91
Lemon;2017;0;1;0;0;83
Breakup at a Wedding;2013;0;1;1;0;85
Radioflash;2019;0;1;0;0;103
Action Point;2018;0;1;1;0;85
Strategic Air Command;1955;0;1;1;0;112
The Treasure;2015;0;1;0;0;157
Tyrel;2018;0;1;0;0;86
Some Kind of Hero;1982;0;1;1;0;97
The Houses October Built 2;2017;0;1;0;0;101
Repentance;2014;0;1;0;0;90
We Die Young;2019;0;1;1;0;92
Middle of Nowhere;2008;0;1;0;0;95
The Layover;2017;0;1;0;0;88
Ismael's Ghosts;2017;0;1;0;0;114
The Challenge;2016;0;1;0;0;30
Ride;2018;0;1;1;0;79
Billboard Dad;1998;0;1;0;0;92
American Gun;2005;0;1;0;0;95
Devil's Gate;2017;0;1;0;0;94
Contracted: Phase II;2015;0;1;0;0;78
Silent Tongue;1993;0;1;1;0;102
Along Came the Devil;2018;0;1;0;0;89
Status Update;2018;0;1;0;0;106
Noma: My Perfect Storm;2015;0;1;0;0;100
Furry Vengeance;2010;0;1;0;0;92
Coastlines;2002;0;1;0;0;110
Wounds;2019;0;1;0;0;95
Crawlers;2020;0;1;0;0;90
Missing 411;2017;0;1;0;0;98
Affairs of State;2018;0;1;0;0;97
A Score to Settle;2019;0;1;0;0;103
Almost Human;2013;0;1;0;0;60
Making Plans for Lena;2009;0;1;0;0;105
The Sweet Life;2017;0;1;1;0;174
White Night Wedding;2008;0;1;0;0;96
It Came from the Desert;2017;0;1;1;0;90
Ballet Now;2018;0;1;0;0;74
The Midnight Man;2016;0;1;0;0;90
The Taste of Money;2012;0;1;1;0;115
Getaway;2013;0;1;0;0;123
Mass Effect: Paragon Lost;2012;0;1;0;0;84
Trapped: The Alex Cooper Story;2019;0;1;0;0;87
All Around Us;2008;0;1;0;0;N/A
Barbie Presents: Thumbelina;2009;0;1;0;0;75
Madonna and the Breakfast Club;2019;0;1;1;0;105
The Sound of Silence;2019;0;1;0;0;85
Don't Go;2018;0;1;0;0;91
Ozzy;2016;0;1;0;0;90
Tell Them Anything You Want: A Portrait of Maurice Sendak;2009;0;1;0;0;39
Breaking the Girls;2013;0;1;0;0;83
Literally, Right Before Aaron;2017;0;1;0;0;102
Inside;2017;0;1;1;0;97
Pokémon the Movie: Diancie and the Cocoon of Destruction;2014;0;1;0;0;76
The Simone Biles Story: Courage to Soar;2018;0;1;0;0;86
Pokémon the Movie: Hoopa and the Clash of Ages;2015;0;1;0;0;79
Curious George 2: Follow That Monkey!;2009;0;1;0;0;80
I'll Come Running;2008;0;1;0;0;112
Ron White: A Little Unprofessional;2012;0;1;1;0;120
Out of the Dark;2014;0;1;1;0;92
The Sender;1982;0;1;1;0;91
Santa Hunters;2014;0;1;0;0;65
Beers of Joy;2019;0;1;0;0;118
Every Other Holiday;2018;0;1;0;0;90
The Swan Princess: The Mystery of the Enchanted Kingdom;1998;0;1;0;0;71
Blurt!;2018;0;1;0;0;52
Eyes of an Angel;1991;0;1;1;0;95
Good Time Max;2008;0;1;0;0;79
Switching Goals;1999;0;1;0;0;12
F*&% the Prom;2017;0;1;0;0;92
Higher Power;2018;0;1;0;0;93
Curious George: A Very Monkey Christmas;2009;0;1;0;0;58
Monogamy;2010;0;1;0;0;30
Barbie: A Perfect Christmas;2011;0;1;0;0;74
Bernie the Dolphin;2018;0;1;1;0;88
The Château;2001;0;1;0;0;91
The Other Man;2008;0;1;1;0;88
Above and Beyond: NASA's Journey to Tomorrow;2018;0;1;0;0;90
35 and Ticking;2011;0;1;1;0;104
Naughty & Nice;2014;0;1;0;0;88
Victoria Gotti: My Father's Daughter;2019;0;1;0;0;86
Respectable: The Mary Millington Story;2016;0;1;0;0;109
Death Bell;2008;0;1;0;0;88
We Are Columbine;2019;0;1;0;0;83
The Appeared;2008;0;1;0;0;120
Dragon Age: Dawn of the Seeker;2012;0;1;0;0;90
Addicted to Sexting;2015;0;1;0;0;80
RoboGeisha;2009;0;1;0;0;102
Big Voice;2015;0;1;0;0;83
Nina;2016;0;1;0;0;109
Josie;2018;0;1;0;0;100
