Title;Year;Netflix;Hulu;Prime Video;Disney+;Runtime
Starred Up;2013;1;0;1;0;106
Mudbound;2017;1;0;0;0;134
Austin Powers: International Man of Mystery;1997;1;0;0;0;94
Blue Ruin;2013;1;0;0;0;90
The Patriot;2000;1;1;0;0;165
Babel;2006;1;0;0;0;143
The Square;2013;1;1;1;0;151
Gerald's Game;2017;1;0;0;0;103
Miracle;2004;1;0;0;1;135
Swades;2004;1;0;0;0;210
Tinker Tailor Soldier Spy;2011;1;0;0;0;122
The Witch;2015;1;0;0;0;92
Haider;2014;1;0;0;0;160
Padman;2018;1;0;0;0;140
Hush;2016;1;0;0;0;82
Elizabeth;1998;1;0;0;0;124
Miss Americana;2020;1;0;0;0;85
Christopher Robin;2018;1;0;0;0;104
I Lost My Body;2019;1;0;0;0;81
I Am Mother;2019;1;0;0;0;113
Lupin the Third: The Castle of Cagliostro;1979;1;0;0;0;100
The Autopsy of Jane Doe;2016;1;0;0;0;86
Virunga;2014;1;0;0;0;100
Freedom Writers;2007;1;0;1;0;123
The Master;2012;1;0;0;0;138
A Serious Man;2009;1;0;0;0;106
The King;2019;1;0;0;0;140
The Breadwinner;2017;1;0;0;0;94
The Boy Who Harnessed the Wind;2019;1;0;1;0;113
Article 15;2019;1;0;0;0;130
The Killing of a Sacred Deer;2017;1;0;0;0;121
Lawless;2012;1;0;0;0;116
Kabhi Khushi Kabhie Gham;2001;1;0;0;0;210
Charlie and the Chocolate Factory;2005;1;0;0;0;115
Freaks;2019;1;0;0;0;105
Hannah Gadsby: Nanette;2018;1;0;0;0;69
The Mask of Zorro;1998;1;0;0;0;136
The Natural;1984;1;0;0;0;138
Equilibrium;2002;1;0;0;0;107
Arthur Christmas;2011;1;0;0;0;97
The Rainmaker;1997;1;0;1;0;135
Winter on Fire: Ukraine's Fight for Freedom;2015;1;0;0;0;102
Always Be My Maybe;2019;1;0;0;0;101
The Crying Game;1992;1;0;0;0;112
War Horse;2011;1;0;0;0;146
Shot Caller;2017;1;0;0;0;121
The Invitation;2015;1;0;1;0;100
A Most Violent Year;2014;1;0;0;0;125
The Other Guys;2010;1;0;0;0;107
Kapoor & Sons;2016;1;0;0;0;132
On Body and Soul;2017;1;0;0;0;116
The Fundamentals of Caring;2016;1;0;1;0;97
Insidious;2010;1;0;0;0;103
Bill Burr: Paper Tiger;2019;1;0;0;0;67
Bad Boys;1995;1;0;0;0;119
The Foreigner;2017;1;0;0;0;113
The Danish Girl;2015;1;0;0;0;119
The Girl with All the Gifts;2016;1;0;0;0;111
Bird Box;2018;1;0;0;0;124
The Ring;2002;1;0;1;0;115
Hostiles;2017;1;0;0;0;134
Sairat;2016;1;0;0;0;174
Trumbo;2015;1;0;1;0;124
LA 92;2017;1;0;0;0;114
20th Century Women;2016;1;0;0;0;119
Kal Ho Naa Ho;2003;1;0;0;0;186
Swiss Army Man;2016;1;0;0;0;97
In This Corner of the World;2016;1;0;0;0;129
A Ghost Story;2017;1;0;0;0;92
United 93;2006;1;0;0;0;111
Patriot Games;1992;1;0;1;0;117
The Secret Life of Pets 2;2019;1;0;0;0;86
Hitch;2005;1;1;0;0;118
The Young Offenders;2016;1;0;0;0;30
Enemy;2013;1;0;0;0;91
Mirage;2018;1;0;1;0;128
Everybody's Everything;2019;1;0;0;0;116
Indiana Jones and the Kingdom of the Crystal Skull;2008;1;0;0;0;122
The Guernsey Literary & Potato Peel Pie Society;2018;1;0;0;0;124
I Don't Feel at Home in This World Anymore;2017;1;0;0;0;93
The Endless;2018;1;0;0;0;111
Julie & Julia;2009;1;0;0;0;123
The Game Changers;2019;1;0;0;0;108
Under the Shadow;2016;1;0;0;0;84
Angel Has Fallen;2019;1;0;0;0;121
Kon-Tiki;2012;1;0;1;0;118
Mary Poppins Returns;2018;1;0;0;0;130
Kajaki;2014;1;0;0;0;108
The Fear of 13;2015;1;0;0;0;96
The Night Comes for Us;2018;1;0;0;0;121
Blood Father;2016;1;0;0;0;88
Stree;2018;1;0;0;0;128
American Factory;2019;1;0;0;0;110
Code 8;2019;1;0;0;0;98
Salt;2010;1;0;0;0;100
The Hundred-Foot Journey;2014;1;0;0;0;122
The Distinguished Citizen;2016;1;0;0;0;118
Scooby-Doo on Zombie Island;1998;1;0;0;0;77
Chasing Coral;2017;1;0;0;0;93
The End of the Tour;2015;1;0;0;0;106
The One I Love;2014;1;0;0;0;91
Underworld;2003;1;0;0;0;121
The Death of Mr. Lazarescu;2005;1;0;0;0;153
Madagascar: Escape 2 Africa;2008;1;0;0;0;89
The Wolf's Call;2019;1;0;0;0;115
What Happened to Monday;2017;1;0;0;0;123
The Willoughbys;2020;1;0;0;0;90
The White Helmets;2016;1;0;0;0;41
Suburra;2015;1;0;0;0;50
The Matrix Revolutions;2003;1;0;0;0;129
Richard Pryor: Live in Concert;1979;1;0;0;0;78
Austin Powers: The Spy Who Shagged Me;1999;1;0;0;0;95
Get Him to the Greek;2010;1;0;0;0;109
Slow West;2015;1;0;0;0;84
The Meyerowitz Stories (New and Selected);2017;1;0;0;0;112
The Battered Bastards of Baseball;2014;1;0;0;0;80
The Perfection;2018;1;0;0;0;90
Ip Man 3;2015;1;0;0;0;105
Sinister;2012;1;0;0;0;110
Rush: Beyond the Lighted Stage;2010;1;0;0;0;107
20 Feet from Stardom;2013;1;0;0;0;91
The Stanford Prison Experiment;2015;1;0;0;0;122
My Week with Marilyn;2011;1;0;0;0;99
Catfish;2010;1;0;0;0;87
Secret Superstar;2017;1;0;0;0;150
Private Life;2018;1;0;0;0;123
Jarhead;2005;1;0;0;0;125
Yes Man;2008;1;0;0;0;104
For the Love of Spock;2016;1;0;0;0;111
Goon;2012;1;0;0;0;92
Ace Ventura: Pet Detective;1994;1;0;0;0;86
Inequality for All;2013;1;0;0;0;89
Olympus Has Fallen;2013;1;0;0;0;119
Dave Chappelle: Sticks & Stones;2019;1;0;0;0;65
John Mulaney: Kid Gorgeous at Radio City;2018;1;0;0;0;65
La Bamba;1987;1;0;0;0;108
Public Enemies;2009;1;0;0;0;140
Supersonic;2016;1;0;0;0;122
The Edge of Democracy;2019;1;0;0;0;121
The Polar Express;2004;1;0;0;0;100
Under the Skin;2014;1;0;0;0;108
Crip Camp: A Disability Revolution;2020;1;0;0;0;106
Tell Me Who I Am;2019;1;0;0;0;85
Hey Arnold! The Jungle Movie;2017;1;1;0;0;81
Zack and Miri Make a Porno;2008;1;0;0;0;101
The Score;2001;1;0;1;0;124
Hamburger Hill;1987;1;0;1;0;110
9;2009;1;0;0;0;79
Undefeated;2011;1;0;0;0;113
Team Foxcatcher;2016;1;0;0;0;90
A Shaun the Sheep Movie: Farmageddon;2019;1;0;0;0;86
April and the Extraordinary World;2015;1;0;0;0;105
The Highwaymen;2019;1;0;0;0;132
Legend;2015;1;0;0;0;132
Boy & the World;2014;1;0;0;0;80
Creep 2;2017;1;0;0;0;78
Terminator 3: Rise of the Machines;2003;1;0;0;0;109
Unrest;2017;1;0;0;0;88
Guru;2007;1;0;0;0;166
Louis C.K. 2017;2017;1;0;0;0;74
A Twelve-Year Night;2018;1;0;0;0;122
Happy as Lazzaro;2018;1;0;0;0;128
What Happened, Miss Simone?;2015;1;0;0;0;101
Blue Jay;2016;1;0;1;0;80
1922;2017;1;0;0;0;102
Hancock;2008;1;0;0;0;92
Circus of Books;2019;1;0;0;0;92
Hail, Caesar!;2016;1;0;0;0;106
The Pixar Story;2007;1;0;0;0;88
Child's Play;1988;1;0;1;0;90
Springsteen On Broadway;2018;1;0;0;0;153
The Angry Birds Movie 2;2019;1;0;0;0;97
Obvious Child;2014;1;0;0;0;84
Awe!;2018;1;0;0;0;150
American Honey;2016;1;0;0;0;163
Last Breath;2019;1;0;0;0;90
Udta Punjab;2016;1;0;0;0;148
Den of Thieves;2018;1;0;0;0;140
Wadjda;2012;1;0;0;0;98
The Spiderwick Chronicles;2008;1;0;0;0;96
The Christmas Chronicles;2018;1;0;1;0;104
Turbo;2013;1;0;0;0;96
My Girl;1991;1;0;0;0;102
22-Jul;2018;1;0;0;0;143
Adam Sandler: 100% Fresh;2018;1;0;0;0;73
Remember;2015;1;0;1;0;94
Triple Frontier;2019;1;0;0;0;125
Bombshell: The Hedy Lamarr Story;2018;1;0;0;0;88
Paddleton;2019;1;0;0;0;89
Bad Boys II;2003;1;0;0;0;147
Sour Grapes;2016;1;0;0;0;91
Betting on Zero;2017;1;0;0;0;99
Delhi Belly;2011;1;0;0;0;103
Being Elmo: A Puppeteer's Journey;2011;1;0;0;0;80
Williams;2017;1;0;0;0;109
It Comes at Night;2017;1;0;0;0;91
Cuba and the Cameraman;2017;1;0;0;0;113
Creep;2014;1;0;0;0;77
The Interview;2014;1;1;1;0;112
Bobby Robson: More Than a Manager;2018;1;0;0;0;104
Outbreak;1995;1;0;0;0;127
Black Snake Moan;2006;1;0;1;0;116
Bright;2017;1;0;0;0;117
Cargo;2017;1;0;1;0;105
Even the Rain;2010;1;0;0;0;103
Candyman;1992;1;0;0;0;99
Mary and the Witch's Flower;2017;1;0;0;0;103
Calibre;2018;1;0;0;0;101
First They Killed My Father;2017;1;0;0;0;136
Us and Them;2018;1;0;0;0;120
Up in Smoke;1978;1;0;0;0;86
Final Destination;2000;1;0;0;0;98
Kill the Messenger;2014;1;0;0;0;112
Operation Odessa;2018;1;0;0;0;95
The American Meme;2018;1;0;0;0;98
Outlaw King;2018;1;0;0;0;121
21;2008;1;0;0;0;123
Holding the Man;2015;1;0;0;0;127
Krisha;2016;1;0;0;0;83
De Palma;2016;1;0;0;0;110
Dear Ex;2018;1;0;0;0;100
Tomorrow Never Dies;1997;1;0;0;0;119
Veronica;2017;1;0;0;0;94
The Cakemaker;2017;1;0;0;0;113
Instructions Not Included;2013;1;0;0;0;115
Bleed for This;2016;1;0;0;0;117
Girl;2018;1;0;1;0;105
The Naked Gun 2½: The Smell of Fear;1991;1;0;0;0;85
Bareilly's Barfi;2017;1;0;0;0;116
The Sky Is Pink;2019;1;0;0;0;143
Chitty Chitty Bang Bang;1968;1;0;0;0;144
