Year;Ceremony;Award;Winner;Name;Film
1947;20;Directing;TRUE;Gentleman's Agreement ;Elia Kazan
1947;20;Directing;FALSE;Great Expectations ;David Lean
1947;20;Documentary (Feature);TRUE;Design for Death ;"Sid Rogell, Executive Producer; Theron Warth and Richard O. Fleischer, Producers"
1947;20;Documentary (Feature);FALSE;Journey into Medicine ;United States Department of State Office of Information and Educational Exchange
1947;20;Documentary (Feature);FALSE;The World Is Rich ;Paul Rotha, Producer
1947;20;Documentary (Short Subject);TRUE;First Steps ;United Nations Division of Films and Visual Information
1947;20;Documentary (Short Subject);FALSE;Passport to Nowhere ;Frederic Ullman, Jr., Producer
1947;20;Documentary (Short Subject);FALSE;School in the Mailbox ;Australian News & Information Bureau
1947;20;Film Editing;FALSE;The Bishop's Wife ;Monica Collingwood
1947;20;Film Editing;TRUE;Body and Soul ;Francis Lyon, Robert Parrish
1947;20;Film Editing;FALSE;Gentleman's Agreement ;Harmon Jones
1947;20;Film Editing;FALSE;Green Dolphin Street ;George White
1947;20;Film Editing;FALSE;Odd Man Out ;Fergus McDonell
1947;20;Music (Music Score of a Dramatic or Comedy Picture);FALSE;The Bishop's Wife ;Hugo Friedhofer
1947;20;Music (Music Score of a Dramatic or Comedy Picture);FALSE;Captain from Castile ;Alfred Newman
1947;20;Music (Music Score of a Dramatic or Comedy Picture);TRUE;A Double Life ;Dr. Miklos Rozsa
1947;20;Music (Music Score of a Dramatic or Comedy Picture);FALSE;Forever Amber ;David Raksin
1947;20;Music (Music Score of a Dramatic or Comedy Picture);FALSE;Life with Father ;Max Steiner
1947;20;Music (Scoring of a Musical Picture);FALSE;Fiesta ;Johnny Green
1947;20;Music (Scoring of a Musical Picture);TRUE;Mother Wore Tights ;Alfred Newman
1947;20;Music (Scoring of a Musical Picture);FALSE;My Wild Irish Rose ;Ray Heindorf, Max Steiner
1947;20;Music (Scoring of a Musical Picture);FALSE;Road to Rio ;Robert Emmett Dolan
1947;20;Music (Scoring of a Musical Picture);FALSE;Song of the South ;Daniele Amfitheatrof, Paul J. Smith, Charles Wolcott
1947;20;Music (Song);FALSE;"""A Gal In Calico"" from The Time, the Place and the Girl";"Music by Arthur Schwartz; Lyrics by Leo Robin"
1947;20;Music (Song);FALSE;"""I Wish I Didn't Love You So"" from The Perils of Pauline";Music and Lyrics by Frank Loesser
1947;20;Music (Song);FALSE;"""Pass That Peace Pipe"" from Good News";Music and Lyrics by Ralph Blane, Roger Edens and Hugh Martin
1947;20;Music (Song);FALSE;"""You Do"" from Mother Wore Tights";"Music by Josef Myrow; Lyrics by Mack Gordon"
1947;20;Music (Song);TRUE;"""Zip-A-Dee-Doo-Dah"" from Song of the South";"Music by Allie Wrubel; Lyrics by Ray Gilbert"
1947;20;Best Motion Picture;FALSE;The Bishop's Wife ;Samuel Goldwyn Productions
1947;20;Best Motion Picture;FALSE;Crossfire ;RKO Radio
1947;20;Best Motion Picture;TRUE;Gentleman's Agreement ;20th Century-Fox
1947;20;Best Motion Picture;FALSE;Great Expectations ;J. Arthur Rank-Cineguild
1947;20;Best Motion Picture;FALSE;Miracle on 34th Street ;20th Century-Fox
1947;20;Short Subject (Cartoon);FALSE;Chip An' Dale ;Walt Disney, Producer
1947;20;Short Subject (Cartoon);FALSE;Dr. Jekyll and Mr. Mouse ;Frederick Quimby, Producer
1947;20;Short Subject (Cartoon);FALSE;Pluto's Blue Note ;Walt Disney, Producer
1947;20;Short Subject (Cartoon);FALSE;Tubby the Tuba ;George Pal, Producer
1947;20;Short Subject (Cartoon);TRUE;Tweetie Pie ;Edward Selzer, Producer
1947;20;Short Subject (One Reel);FALSE;Brooklyn, U.S.A. ;Thomas Mead, Producer
1947;20;Short Subject (One Reel);TRUE;Good-bye Miss Turlock ;Herbert Moulton, Producer
1947;20;Short Subject (One Reel);FALSE;Moon Rockets ;Jerry Fairbanks, Producer
1947;20;Short Subject (One Reel);FALSE;Now You See It ;Pete Smith, Producer
1947;20;Short Subject (One Reel);FALSE;So You Want to Be in Pictures ;Gordon Hollingshead, Producer
1947;20;Short Subject (Two Reel);FALSE;Champagne for Two ;Harry Grey, Producer
1947;20;Short Subject (Two Reel);TRUE;Climbing the Matterhorn ;Irving Allen, Producer
1947;20;Short Subject (Two Reel);FALSE;Fight of the Wild Stallions ;Thomas Mead, Producer
1947;20;Short Subject (Two Reel);FALSE;Give Us the Earth ;Herbert Morgan, Producer
1947;20;Short Subject (Two Reel);FALSE;A Voice Is Born: The Story of Niklos Gafni ;Ben Blake, Producer
1947;20;Sound Recording;TRUE;The Bishop's Wife ;Samuel Goldwyn Studio Sound Department, Gordon Sawyer, Sound Director
1947;20;Sound Recording;FALSE;Green Dolphin Street ;Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director
1947;20;Sound Recording;FALSE;T-Men ;Sound Service, Inc., Jack R. Whitney, Sound Director
1947;20;Special Effects;TRUE;Green Dolphin Street ;"Special Visual Effects by A. Arnold Gillespie, Warren Newcombe; Special Audible Effects by Douglas Shearer, Michael Steinore"
1947;20;Special Effects;FALSE;Unconquered ;"Special Visual Effects by Farciot Edouart, Devereux Jennings, Gordon Jennings, Wallace Kelley, Paul Lerpae; Special Audible Effects by George Dutton"
1947;20;Writing (Motion Picture Story);FALSE;A Cage of Nightingales ;Georges Chaperot, Rene Wheeler
1947;20;Writing (Motion Picture Story);FALSE;It Happened on Fifth Avenue ;Herbert Clyde Lewis, Frederick Stephani
1947;20;Writing (Motion Picture Story);FALSE;Kiss of Death ;Eleazar Lipsky
1947;20;Writing (Motion Picture Story);TRUE;Miracle on 34th Street ;Valentine Davies
1947;20;Writing (Motion Picture Story);FALSE;Smash-Up--The Story of a Woman ;Dorothy Parker, Frank Cavett
1947;20;Writing (Original Screenplay);TRUE;The Bachelor and the Bobby-Soxer ;Sidney Sheldon
1947;20;Writing (Original Screenplay);FALSE;Body and Soul ;Abraham Polonsky
1947;20;Writing (Original Screenplay);FALSE;A Double Life ;Ruth Gordon, Garson Kanin
1947;20;Writing (Original Screenplay);FALSE;Monsieur Verdoux ;Charles Chaplin
1947;20;Writing (Original Screenplay);FALSE;Shoe-Shine ;Sergio Amidei, Adolfo Franci, C. G. Viola, Cesare Zavattini
1947;20;Writing (Screenplay);FALSE;Boomerang! ;Richard Murphy
1947;20;Writing (Screenplay);FALSE;Crossfire ;John Paxton
1947;20;Writing (Screenplay);FALSE;Gentleman's Agreement ;Moss Hart
1947;20;Writing (Screenplay);FALSE;Great Expectations ;David Lean, Anthony Havelock-Allan, Ronald Neame
1947;20;Writing (Screenplay);TRUE;Miracle on 34th Street ;George Seaton
1947;20;Special Award;TRUE;James Baskett;Song of the South
1947;20;Special Award;TRUE;Bill and Coo;
1947;20;Special Award;TRUE;Shoe-Shine;
1947;20;Special Award;TRUE;Colonel William N. Selig, Albert E. Smith, Thomas Armat and George K. Spoor;
1948;21;Actor;FALSE;Lew Ayres;Johnny Belinda
1948;21;Actor;FALSE;Montgomery Clift;The Search
1948;21;Actor;FALSE;Dan Dailey;When My Baby Smiles at Me
1948;21;Actor;TRUE;Laurence Olivier;Hamlet
1948;21;Actor;FALSE;Clifton Webb;Sitting Pretty
1948;21;Actor in a Supporting Role;FALSE;Charles Bickford;Johnny Belinda
1948;21;Actor in a Supporting Role;FALSE;José Ferrer;Joan of Arc
1948;21;Actor in a Supporting Role;FALSE;Oscar Homolka;I Remember Mama
1948;21;Actor in a Supporting Role;TRUE;Walter Huston;The Treasure of the Sierra Madre
1948;21;Actor in a Supporting Role;FALSE;Cecil Kellaway;The Luck of the Irish
1948;21;Actress;FALSE;Ingrid Bergman;Joan of Arc
1948;21;Actress;FALSE;Olivia de Havilland;The Snake Pit
1948;21;Actress;FALSE;Irene Dunne;I Remember Mama
1948;21;Actress;FALSE;Barbara Stanwyck;Sorry, Wrong Number
1948;21;Actress;TRUE;Jane Wyman;Johnny Belinda
1948;21;Actress in a Supporting Role;FALSE;Barbara Bel Geddes;I Remember Mama
1948;21;Actress in a Supporting Role;FALSE;Ellen Corby;I Remember Mama
1948;21;Actress in a Supporting Role;FALSE;Agnes Moorehead;Johnny Belinda
1948;21;Actress in a Supporting Role;FALSE;Jean Simmons;Hamlet
1948;21;Actress in a Supporting Role;TRUE;Claire Trevor;Key Largo
1948;21;Art Direction (Black and White);TRUE;Hamlet ;"Art Direction: Roger K. Furse; Set Decoration: Carmen Dillon"
1948;21;Art Direction (Black and White);FALSE;Johnny Belinda ;"Art Direction: Robert Haas; Set Decoration: William Wallace"
1948;21;Art Direction (Color);FALSE;Joan of Arc ;"Art Direction: Richard Day; Set Decoration: Edwin Casey Roberts, Joseph Kish"
1948;21;Art Direction (Color);TRUE;The Red Shoes ;"Art Direction: Hein Heckroth; Set Decoration: Arthur Lawson"
1948;21;Cinematography (Black and White);FALSE;A Foreign Affair ;Charles B. Lang, Jr.
1948;21;Cinematography (Black and White);FALSE;I Remember Mama ;Nicholas Musuraca
1948;21;Cinematography (Black and White);FALSE;Johnny Belinda ;Ted McCord
1948;21;Cinematography (Black and White);TRUE;The Naked City ;William Daniels
1948;21;Cinematography (Black and White);FALSE;Portrait of Jennie ;Joseph August
1948;21;Cinematography (Color);FALSE;Green Grass of Wyoming ;Charles G. Clarke
1948;21;Cinematography (Color);TRUE;Joan of Arc ;Joseph Valentine, William V. Skall, Winton Hoch
1948;21;Cinematography (Color);FALSE;The Loves of Carmen ;William Snyder
1948;21;Cinematography (Color);FALSE;The Three Musketeers ;Robert Planck
1948;21;Costume Design (Black and White);FALSE;B. F.'s Daughter ;Irene
1948;21;Costume Design (Black and White);TRUE;Hamlet ;Roger K. Furse
1948;21;Costume Design (Color);FALSE;The Emperor Waltz ;Edith Head, Gile Steele
1948;21;Costume Design (Color);TRUE;Joan of Arc ;Dorothy Jeakins, Karinska
1948;21;Directing;FALSE;Hamlet ;Laurence Olivier
1948;21;Directing;FALSE;Johnny Belinda ;Jean Negulesco
1948;21;Directing;FALSE;The Search ;Fred Zinnemann
1948;21;Directing;FALSE;The Snake Pit ;Anatole Litvak
1948;21;Directing;TRUE;The Treasure of the Sierra Madre ;John Huston
1948;21;Documentary (Feature);FALSE;The Quiet One ;Janice Loeb, Producer
1948;21;Documentary (Feature);TRUE;The Secret Land ;Orville O. Dull, Producer
1948;21;Documentary (Short Subject);FALSE;Heart to Heart ;Herbert Morgan, Producer
1948;21;Documentary (Short Subject);FALSE;Operation Vittles ;United States Army Air Force
1948;21;Documentary (Short Subject);TRUE;Toward Independence ;United States Army
1948;21;Film Editing;FALSE;Joan of Arc ;Frank Sullivan
1948;21;Film Editing;FALSE;Johnny Belinda ;David Weisbart
1948;21;Film Editing;TRUE;The Naked City ;Paul Weatherwax
1948;21;Film Editing;FALSE;Red River ;Christian Nyby
1948;21;Film Editing;FALSE;The Red Shoes ;Reginald Mills
1948;21;Music (Music Score of a Dramatic or Comedy Picture);FALSE;Hamlet ;William Walton
1948;21;Music (Music Score of a Dramatic or Comedy Picture);FALSE;Joan of Arc ;Hugo Friedhofer
1948;21;Music (Music Score of a Dramatic or Comedy Picture);FALSE;Johnny Belinda ;Max Steiner
1948;21;Music (Music Score of a Dramatic or Comedy Picture);TRUE;The Red Shoes ;Brian Easdale
1948;21;Music (Music Score of a Dramatic or Comedy Picture);FALSE;The Snake Pit ;Alfred Newman
1948;21;Music (Scoring of a Musical Picture);TRUE;Easter Parade ;Johnny Green, Roger Edens
1948;21;Music (Scoring of a Musical Picture);FALSE;The Emperor Waltz ;Victor Young
1948;21;Music (Scoring of a Musical Picture);FALSE;The Pirate ;Lennie Hayton
1948;21;Music (Scoring of a Musical Picture);FALSE;Romance on the High Seas ;Ray Heindorf
1948;21;Music (Scoring of a Musical Picture);FALSE;When My Baby Smiles at Me ;Alfred Newman
1948;21;Music (Song);TRUE;"""Buttons And Bows"" from The Paleface";Music and Lyrics by Jay Livingston and Ray Evans
1948;21;Music (Song);FALSE;"""For Every Man There's A Woman"" from Casbah";"Music by Harold Arlen; Lyrics by Leo Robin"
1948;21;Music (Song);FALSE;"""It's Magic"" from Romance on the High Seas";"Music by Jule Styne; Lyrics by Sammy Cahn"
1948;21;Music (Song);FALSE;"""This Is The Moment"" from That Lady in Ermine";"Music by Frederick Hollander; Lyrics by Leo Robin"
1948;21;Music (Song);FALSE;"""The Woody Woodpecker Song"" from Wet Blanket Policy";Music and Lyrics by Ramey Idriss and George Tibbles
1948;21;Best Motion Picture;TRUE;Hamlet ;J. Arthur Rank-Two Cities Films
1948;21;Best Motion Picture;FALSE;Johnny Belinda ;Warner Brothers
1948;21;Best Motion Picture;FALSE;The Red Shoes ;J. Arthur Rank-Archers
1948;21;Best Motion Picture;FALSE;The Snake Pit ;20th Century-Fox
1948;21;Best Motion Picture;FALSE;The Treasure of the Sierra Madre ;Warner Brothers
1948;21;Short Subject (Cartoon);TRUE;The Little Orphan ;Fred Quimby, Producer
1948;21;Short Subject (Cartoon);FALSE;Mickey and the Seal ;Walt Disney, Producer
1948;21;Short Subject (Cartoon);FALSE;Mouse Wreckers ;Edward Selzer, Producer
1948;21;Short Subject (Cartoon);FALSE;Robin Hoodlum ;United Productions of America
1948;21;Short Subject (Cartoon);FALSE;Tea for Two Hundred ;Walt Disney, Producer
1948;21;Short Subject (One Reel);FALSE;Annie Was a Wonder ;Herbert Moulton, Producer
1948;21;Short Subject (One Reel);FALSE;Cinderella Horse ;Gordon Hollingshead, Producer
1948;21;Short Subject (One Reel);FALSE;So You Want to Be on the Radio ;Gordon Hollingshead, Producer
1948;21;Short Subject (One Reel);TRUE;Symphony of a City ;Edmund H. Reek, Producer
1948;21;Short Subject (One Reel);FALSE;You Can't Win ;Pete Smith, Producer
1948;21;Short Subject (Two Reel);FALSE;Calgary Stampede ;Gordon Hollingshead, Producer
1948;21;Short Subject (Two Reel);FALSE;Going to Blazes ;Herbert Morgan, Producer
1948;21;Short Subject (Two Reel);FALSE;Samba-Mania ;Harry Grey, Producer
1948;21;Short Subject (Two Reel);TRUE;Seal Island ;Walt Disney, Producer
1948;21;Short Subject (Two Reel);FALSE;Snow Capers ;Thomas Mead, Producer
1948;21;Sound Recording;FALSE;Johnny Belinda ;Warner Brothers Studio Sound Department, Col. Nathan O. Levinson, Sound Director
1948;21;Sound Recording;FALSE;Moonrise ;Republic Studio Sound Department, Daniel J. Bloomberg, Sound Director
1948;21;Sound Recording;TRUE;The Snake Pit ;20th Century-Fox Studio Sound Department, Thomas T. Moulton, Sound Director
1948;21;Special Effects;FALSE;Deep Waters ;"Special Visual Effects by Ralph Hammeras, Fred Sersen, Edward Snyder; Special Audible Effects by Roger Heman"
1948;21;Special Effects;TRUE;Portrait of Jennie ;"Special Visual Effects by Paul Eagler, J. McMillan Johnson, Russell Shearman, Clarence Slifer; Special Audible Effects by Charles Freeman, James G. Stewart"
1948;21;Writing (Motion Picture Story);FALSE;Louisiana Story ;Frances Flaherty, Robert Flaherty
1948;21;Writing (Motion Picture Story);FALSE;The Naked City ;Malvin Wald
1948;21;Writing (Motion Picture Story);FALSE;Red River ;Borden Chase
1948;21;Writing (Motion Picture Story);FALSE;The Red Shoes ;Emeric Pressburger
1948;21;Writing (Motion Picture Story);TRUE;The Search ;Richard Schweizer, David Wechsler
1948;21;Writing (Screenplay);FALSE;A Foreign Affair ;Charles Brackett, Billy Wilder, Richard L. Breen
1948;21;Writing (Screenplay);FALSE;Johnny Belinda ;Irmgard Von Cube, Allen Vincent
1948;21;Writing (Screenplay);FALSE;The Search ;Richard Schweizer, David Wechsler
1948;21;Writing (Screenplay);FALSE;The Snake Pit ;Frank Partos, Millen Brand
1948;21;Writing (Screenplay);TRUE;The Treasure of the Sierra Madre ;John Huston
1948;21;Special Foreign Language Film Award;TRUE;Monsieur Vincent;
1948;21;Special Award;TRUE;Ivan Jandl;The Search
1948;21;Special Award;TRUE;Sid Grauman;
1948;21;Special Award;TRUE;Adolph Zukor;
1948;21;Special Award;TRUE;Walter Wanger;Joan of Arc
1948;21;Special Award;TRUE;Jean Hersholt;
1948;21;Irving G. Thalberg Memorial Award;TRUE;Jerry Wald;
1949;22;Actor;TRUE;Broderick Crawford;All the King's Men
1949;22;Actor;FALSE;Kirk Douglas;Champion
1949;22;Actor;FALSE;Gregory Peck;Twelve O'Clock High
1949;22;Actor;FALSE;Richard Todd;The Hasty Heart
1949;22;Actor;FALSE;John Wayne;Sands of Iwo Jima
1949;22;Actor in a Supporting Role;FALSE;John Ireland;All the King's Men
1949;22;Actor in a Supporting Role;TRUE;Dean Jagger;Twelve O'Clock High
1949;22;Actor in a Supporting Role;FALSE;Arthur Kennedy;Champion
1949;22;Actor in a Supporting Role;FALSE;Ralph Richardson;The Heiress
1949;22;Actor in a Supporting Role;FALSE;James Whitmore;Battleground
1949;22;Actress;FALSE;Jeanne Crain;Pinky
1949;22;Actress;TRUE;Olivia de Havilland;The Heiress
1949;22;Actress;FALSE;Susan Hayward;My Foolish Heart
1949;22;Actress;FALSE;Deborah Kerr;Edward, My Son
1949;22;Actress;FALSE;Loretta Young;Come to the Stable
1949;22;Actress in a Supporting Role;FALSE;Ethel Barrymore;Pinky
1949;22;Actress in a Supporting Role;FALSE;Celeste Holm;Come to the Stable
1949;22;Actress in a Supporting Role;FALSE;Elsa Lanchester;Come to the Stable
1949;22;Actress in a Supporting Role;TRUE;Mercedes McCambridge;All the King's Men
1949;22;Actress in a Supporting Role;FALSE;Ethel Waters;Pinky
1949;22;Art Direction (Black and White);FALSE;Come to the Stable ;"Art Direction: Lyle Wheeler, Joseph C. Wright; Set Decoration: Thomas Little, Paul S. Fox"
1949;22;Art Direction (Black and White);TRUE;The Heiress ;"Art Direction: Harry Horner, John Meehan; Set Decoration: Emile Kuri"
1949;22;Art Direction (Black and White);FALSE;Madame Bovary ;"Art Direction: Cedric Gibbons, Jack Martin Smith; Set Decoration: Edwin B. Willis, Richard A. Pefferle"
1949;22;Art Direction (Color);FALSE;The Adventures of Don Juan ;"Art Direction: Edward Carrere; Set Decoration: Lyle Reifsnider"
1949;22;Art Direction (Color);TRUE;Little Women ;"Art Direction: Cedric Gibbons, Paul Groesse; Set Decoration: Edwin B. Willis, Jack D. Moore"
1949;22;Art Direction (Color);FALSE;Saraband ;Art Direction: Jim Morahan, William Kellner, Michael Relph
1949;22;Cinematography (Black and White);TRUE;Battleground ;Paul C. Vogel
1949;22;Cinematography (Black and White);FALSE;Champion ;Frank Planer
1949;22;Cinematography (Black and White);FALSE;Come to the Stable ;Joseph LaShelle
1949;22;Cinematography (Black and White);FALSE;The Heiress ;Leo Tover
1949;22;Cinematography (Black and White);FALSE;Prince of Foxes ;Leon Shamroy
1949;22;Cinematography (Color);FALSE;The Barkleys of Broadway ;Harry Stradling
1949;22;Cinematography (Color);FALSE;Jolson Sings Again ;William Snyder
1949;22;Cinematography (Color);FALSE;Little Women ;Robert Planck, Charles Schoenbaum
1949;22;Cinematography (Color);FALSE;Sand ;Charles G. Clarke
1949;22;Cinematography (Color);TRUE;She Wore a Yellow Ribbon ;Winton Hoch
1949;22;Costume Design (Black and White);TRUE;The Heiress ;Edith Head, Gile Steele
1949;22;Costume Design (Black and White);FALSE;Prince of Foxes ;Vittorio Nino Novarese
1949;22;Costume Design (Color);TRUE;The Adventures of Don Juan ;Leah Rhodes, Travilla, Marjorie Best
1949;22;Costume Design (Color);FALSE;Mother Is a Freshman ;Kay Nelson
1949;22;Directing;FALSE;All the King's Men ;Robert Rossen
1949;22;Directing;FALSE;Battleground ;William A. Wellman
1949;22;Directing;FALSE;The Fallen Idol ;Carol Reed
1949;22;Directing;FALSE;The Heiress ;William Wyler
1949;22;Directing;TRUE;A Letter to Three Wives ;Joseph L. Mankiewicz
1949;22;Documentary (Feature);TRUE;Daybreak in Udi ;Crown Film Unit
1949;22;Documentary (Feature);FALSE;Kenji Comes Home ;Paul F. Heard, Producer
1949;22;Documentary (Short Subject);TRUE;A Chance to Live ;Richard de Rochemont, Producer
1949;22;Documentary (Short Subject);FALSE;1848;French Cinema General Cooperative
1949;22;Documentary (Short Subject);FALSE;The Rising Tide ;St. Francis-Xavier University, Antigonish, Nova Scotia
1949;22;Documentary (Short Subject);TRUE;So Much for So Little ;Edward Selzer, Producer
1949;22;Film Editing;FALSE;All the King's Men ;Robert Parrish, Al Clark
1949;22;Film Editing;FALSE;Battleground ;John Dunning
1949;22;Film Editing;TRUE;Champion ;Harry Gerstad
1949;22;Film Editing;FALSE;Sands of Iwo Jima ;Richard L. Van Enger
1949;22;Film Editing;FALSE;The Window ;Frederic Knudtson
1949;22;Music (Music Score of a Dramatic or Comedy Picture);FALSE;Beyond the Forest ;Max Steiner
1949;22;Music (Music Score of a Dramatic or Comedy Picture);FALSE;Champion ;Dimitri Tiomkin
1949;22;Music (Music Score of a Dramatic or Comedy Picture);TRUE;The Heiress ;Aaron Copland
1949;22;Music (Scoring of a Musical Picture);FALSE;Jolson Sings Again ;Morris Stoloff, George Duning
1949;22;Music (Scoring of a Musical Picture);FALSE;Look for the Silver Lining ;Ray Heindorf
1949;22;Music (Scoring of a Musical Picture);TRUE;On the Town ;Roger Edens, Lennie Hayton
1949;22;Music (Song);TRUE;"""Baby, It's Cold Outside"" from Neptune's Daughter";Music and Lyrics by Frank Loesser
1949;22;Music (Song);FALSE;"""It's A Great Feeling"" from It's a Great Feeling";"Music by Jule Styne; Lyrics by Sammy Cahn"
1949;22;Music (Song);FALSE;"""Lavender Blue"" from So Dear to My Heart";"Music by Eliot Daniel; Lyrics by Larry Morey"
1949;22;Music (Song);FALSE;"""My Foolish Heart"" from My Foolish Heart";"Music by Victor Young; Lyrics by Ned Washington"
1949;22;Music (Song);FALSE;"""Through A Long And Sleepless Night"" from Come to the Stable";"Music by Alfred Newman; Lyrics by Mack Gordon"
1949;22;Best Motion Picture;TRUE;All the King's Men ;Robert Rossen Productions
1949;22;Best Motion Picture;FALSE;Battleground ;Metro-Goldwyn-Mayer
1949;22;Best Motion Picture;FALSE;The Heiress ;Paramount
1949;22;Best Motion Picture;FALSE;A Letter to Three Wives ;20th Century-Fox
1949;22;Best Motion Picture;FALSE;Twelve O'Clock High ;20th Century-Fox
1949;22;Short Subject (Cartoon);FALSE;Canary Row ;Edward Selzer, Producer
1949;22;Short Subject (Cartoon);TRUE;For Scent-Imental Reasons ;Edward Selzer, Producer
1949;22;Short Subject (Cartoon);FALSE;Hatch Up Your Troubles ;Fred Quimby, Producer
1949;22;Short Subject (Cartoon);FALSE;The Magic Fluke ;Stephen Bosustow, Producer
1949;22;Short Subject (Cartoon);FALSE;Toy Tinkers ;Walt Disney, Producer
1949;22;Short Subject (One Reel);TRUE;Aquatic House-Party ;Jack Eaton, Producer
1949;22;Short Subject (One Reel);FALSE;Roller Derby Girl ;Justin Herman, Producer
1949;22;Short Subject (One Reel);FALSE;So You Think You're Not Guilty ;Gordon Hollingshead, Producer
1949;22;Short Subject (One Reel);FALSE;Spills and Chills ;Walton C. Ament, Producer
1949;22;Short Subject (One Reel);FALSE;Water Trix ;Pete Smith, Producer
1949;22;Short Subject (Two Reel);FALSE;The Boy and the Eagle ;William Lasky, Producer
1949;22;Short Subject (Two Reel);FALSE;Chase of Death ;Irving Allen, Producer
1949;22;Short Subject (Two Reel);FALSE;The Grass Is Always Greener ;Gordon Hollingshead, Producer
1949;22;Short Subject (Two Reel);FALSE;Snow Carnival ;Gordon Hollingshead, Producer
1949;22;Short Subject (Two Reel);TRUE;Van Gogh ;Gaston Diehl and Robert Haessens, Producers
1949;22;Sound Recording;FALSE;Once More, My Darling ;Universal-International Studio Sound Department, Leslie I. Carey, Sound Director
1949;22;Sound Recording;FALSE;Sands of Iwo Jima ;Republic Studio Sound Department, Daniel J. Bloomberg, Sound Director
1949;22;Sound Recording;TRUE;Twelve O'Clock High ;20th Century-Fox Studio Sound Department, Thomas T. Moulton, Sound Director
1949;22;Special Effects;TRUE;Mighty Joe Young ;ARKO Productions
1949;22;Special Effects;FALSE;Tulsa ;Walter Wanger Pictures
1949;22;Writing (Motion Picture Story);FALSE;Come to the Stable ;Clare Boothe Luce
1949;22;Writing (Motion Picture Story);FALSE;It Happens Every Spring ;Shirley W. Smith, Valentine Davies
1949;22;Writing (Motion Picture Story);FALSE;Sands of Iwo Jima ;Harry Brown
1949;22;Writing (Motion Picture Story);TRUE;The Stratton Story ;Douglas Morrow
1949;22;Writing (Motion Picture Story);FALSE;White Heat ;Virginia Kellogg
1949;22;Writing (Screenplay);FALSE;All the King's Men ;Robert Rossen
1949;22;Writing (Screenplay);FALSE;The Bicycle Thief ;Cesare Zavattini
1949;22;Writing (Screenplay);FALSE;Champion ;Carl Foreman
1949;22;Writing (Screenplay);FALSE;The Fallen Idol ;Graham Greene
1949;22;Writing (Screenplay);TRUE;A Letter to Three Wives ;Joseph L. Mankiewicz
1949;22;Writing (Story and Screenplay);TRUE;Battleground ;Robert Pirosh
1949;22;Writing (Story and Screenplay);FALSE;Jolson Sings Again ;Sidney Buchman
1949;22;Writing (Story and Screenplay);FALSE;Paisan ;Alfred Hayes, Federico Fellini, Sergio Amidei, Marcello Pagliero, Roberto Rossellini
1949;22;Writing (Story and Screenplay);FALSE;Passport to Pimlico ;T. E. B. Clarke
1949;22;Writing (Story and Screenplay);FALSE;The Quiet One ;Helen Levitt, Janice Loeb, Sidney Meyers
1949;22;Special Foreign Language Film Award;TRUE;The Bicycle Thief;
1949;22;Special Award;TRUE;Bobby Driscoll;
1949;22;Special Award;TRUE;Fred Astaire;
1949;22;Special Award;TRUE;Cecil B. DeMille;
1949;22;Special Award;TRUE;Jean Hersholt;
1950;23;Actor;FALSE;Louis Calhern;The Magnificent Yankee
1950;23;Actor;TRUE;José Ferrer;Cyrano de Bergerac
1950;23;Actor;FALSE;William Holden;Sunset Blvd.
1950;23;Actor;FALSE;James Stewart;Harvey
1950;23;Actor;FALSE;Spencer Tracy;Father of the Bride
1950;23;Actor in a Supporting Role;FALSE;Jeff Chandler;Broken Arrow
1950;23;Actor in a Supporting Role;FALSE;Edmund Gwenn;Mister 880
1950;23;Actor in a Supporting Role;FALSE;Sam Jaffe;The Asphalt Jungle
1950;23;Actor in a Supporting Role;TRUE;George Sanders;All about Eve
1950;23;Actor in a Supporting Role;FALSE;Erich von Stroheim;Sunset Blvd.
1950;23;Actress;FALSE;Anne Baxter;All about Eve
1950;23;Actress;FALSE;Bette Davis;All about Eve
1950;23;Actress;TRUE;Judy Holliday;Born Yesterday
1950;23;Actress;FALSE;Eleanor Parker;Caged
1950;23;Actress;FALSE;Gloria Swanson;Sunset Blvd.
1950;23;Actress in a Supporting Role;FALSE;Hope Emerson;Caged
1950;23;Actress in a Supporting Role;FALSE;Celeste Holm;All about Eve
1950;23;Actress in a Supporting Role;TRUE;Josephine Hull;Harvey
1950;23;Actress in a Supporting Role;FALSE;Nancy Olson;Sunset Blvd.
1950;23;Actress in a Supporting Role;FALSE;Thelma Ritter;All about Eve
1950;23;Art Direction (Black and White);FALSE;All about Eve ;"Art Direction: Lyle Wheeler, George W. Davis; Set Decoration: Thomas Little, Walter M. Scott"
1950;23;Art Direction (Black and White);FALSE;The Red Danube ;"Art Direction: Cedric Gibbons, Hans Peters; Set Decoration: Edwin B. Willis, Hugh Hunt"
1950;23;Art Direction (Black and White);TRUE;Sunset Blvd. ;"Art Direction: Hans Dreier, John Meehan; Set Decoration: Sam Comer, Ray Moyer"
1950;23;Art Direction (Color);FALSE;Annie Get Your Gun ;"Art Direction: Cedric Gibbons, Paul Groesse; Set Decoration: Edwin B. Willis, Richard A. Pefferle"
1950;23;Art Direction (Color);FALSE;Destination Moon ;"Art Direction: Ernst Fegte; Set Decoration: George Sawley"
