Year;Ceremony;Award;Winner;Name;Film
1929/1930;3;Art Direction;FALSE;The Love Parade ;(Hans Dreier)
1929/1930;3;Art Direction;FALSE;Sally ;(Jack Okey)
1929/1930;3;Art Direction;FALSE;The Vagabond King ;(Hans Dreier)
1929/1930;3;Cinematography;FALSE;All Quiet on the Western Front ;(Arthur Edeson)
1929/1930;3;Cinematography;FALSE;Anna Christie ;(William Daniels)
1929/1930;3;Cinematography;FALSE;Hell's Angels ;(Gaetano Gaudio), (Harry Perry)
1929/1930;3;Cinematography;FALSE;The Love Parade ;(Victor Milner)
1929/1930;3;Cinematography;TRUE;With Byrd at the South Pole ;Joseph T. Rucker, Willard Van Der Veer
1929/1930;3;Directing;FALSE;Clarence Brown;"Anna Christie; and Romance"
1929/1930;3;Directing;FALSE;Robert Leonard;The Divorcee
1929/1930;3;Directing;FALSE;Ernst Lubitsch;The Love Parade
1929/1930;3;Directing;TRUE;Lewis Milestone;All Quiet on the Western Front
1929/1930;3;Directing;FALSE;King Vidor;Hallelujah
1929/1930;3;Outstanding Production;TRUE;All Quiet on the Western Front ;Universal
1929/1930;3;Outstanding Production;FALSE;The Big House ;Cosmopolitan
1929/1930;3;Outstanding Production;FALSE;Disraeli ;Warner Brothers
1929/1930;3;Outstanding Production;FALSE;The Divorcee ;Metro-Goldwyn-Mayer
1929/1930;3;Outstanding Production;FALSE;The Love Parade ;Paramount Famous Lasky
1929/1930;3;Sound Recording;TRUE;The Big House ;Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director
1929/1930;3;Sound Recording;FALSE;The Case of Sergeant Grischa ;(RKO Radio Studio Sound Department, John Tribby, Sound Director)
1929/1930;3;Sound Recording;FALSE;The Love Parade ;(Paramount Famous Lasky Studio Sound Department, Franklin Hansen, Sound Director)
1929/1930;3;Sound Recording;FALSE;Raffles ;(United Artists Studio Sound Department, Oscar Lagerstrom, Sound Director)
1929/1930;3;Sound Recording;FALSE;Song of the Flame ;(First National Studio Sound Department, George Groves, Sound Director)
1929/1930;3;Writing;FALSE;All Quiet on the Western Front ;(George Abbott), (Maxwell Anderson), (Del Andrews)
1929/1930;3;Writing;TRUE;The Big House ;Frances Marion
1929/1930;3;Writing;FALSE;Disraeli ;(Julian Josephson)
1929/1930;3;Writing;FALSE;The Divorcee ;(John Meehan)
1929/1930;3;Writing;FALSE;Street of Chance ;(Howard Estabrook)
1930/1931;4;Actor;TRUE;Lionel Barrymore;A Free Soul
1930/1931;4;Actor;FALSE;Jackie Cooper;Skippy
1930/1931;4;Actor;FALSE;Richard Dix;Cimarron
1930/1931;4;Actor;FALSE;Fredric March;The Royal Family of Broadway
1930/1931;4;Actor;FALSE;Adolphe Menjou;The Front Page
1930/1931;4;Actress;FALSE;Marlene Dietrich;Morocco
1930/1931;4;Actress;TRUE;Marie Dressler;Min and Bill
1930/1931;4;Actress;FALSE;Irene Dunne;Cimarron
1930/1931;4;Actress;FALSE;Ann Harding;Holiday
1930/1931;4;Actress;FALSE;Norma Shearer;A Free Soul
1930/1931;4;Art Direction;TRUE;Cimarron ;Max Rée
1930/1931;4;Art Direction;FALSE;Just Imagine ;Stephen Goosson, Ralph Hammeras
1930/1931;4;Art Direction;FALSE;Morocco ;Hans Dreier
1930/1931;4;Art Direction;FALSE;Svengali ;Anton Grot
1930/1931;4;Art Direction;FALSE;Whoopee! ;Richard Day
1930/1931;4;Cinematography;FALSE;Cimarron ;Edward Cronjager
1930/1931;4;Cinematography;FALSE;Morocco ;Lee Garmes
